date,nav
20210728,127738749.45716143
20210729,127896395.83186933
20210730,127989496.83072254
20210802,128028601.84974661
20210803,127936977.26737086
20210804,128089218.85499817
20210805,128130344.57071441
20210806,128179835.19135207
20210809,128167177.41727312
20210810,128207476.7636546
20210811,128257979.52892298
20210812,128309955.022871
20210813,128379249.75389075
20210816,128383342.8935308
20210817,128237279.52237938
20210818,128303561.64445534
20210819,128277910.67292893
20210820,128306626.95672186
20210823,128410829.28207634
20210824,128480776.46402298
20210825,128614457.4024394
20210826,128661986.79232109
20210827,128788319.11709371
20210830,129022594.3703683
20210831,129265888.03298235
20210901,129093138.99418831
20210902,129458762.08839238
20210903,129357975.39619885
20210906,129442792.12901337
20210907,129758517.46399847
20210908,129885660.01936288
20210909,130133499.28569603
20210910,130048264.7386069
20210913,130323569.56275938
20210914,130068019.26788655
20210915,130140145.99421291
20210916,130016689.9529674
20210917,129973427.36589672
20210922,130193412.74689408
20210923,130185927.29648365
20210924,130025146.74519552
20210927,129937118.18115246
20210928,129966970.02528936
20210929,129935105.37328486
20210930,129956074.99656735
20211008,129950252.47048542
20211011,129961267.8516223
20211012,129954727.37734467
20211013,129929567.48635685
20211014,129942901.38976468
20211015,129934724.07881016
20211018,129929228.29812841
20211019,129925863.88184226
20211020,129917454.94910583
20211021,129926862.2215538
20211022,129902136.31570525
20211025,129909090.11311169
20211026,129902303.37702323
20211027,129920838.89677303
20211028,129873430.91558352
20211029,129932141.63411376
20211101,129953979.00439946
20211102,129936329.77277605
20211103,129950884.94463803
20211104,130017375.99129441
20211105,129954740.51850604
20211108,129936104.41582191
20211109,129963157.51396053
20211110,129957832.8290952
20211111,129972019.9520719
20211112,130026562.73760135
20211115,129998935.30351779
20211116,129994061.45646691
20211117,130013523.31555448
20211118,130007489.17069271
20211119,130043865.18341091
20211122,130068524.83261898
20211123,130122526.78109905
20211124,130100852.30274585
20211125,130117759.7367711
20211126,130135992.5743516
20211129,130148969.77371058
20211130,130140559.83926643
20211201,130164787.37330534
20211202,130157815.42974992
20211203,130202619.87773964
20211206,130197294.2354848
20211207,130200481.28874448
20211208,130259743.13741858
20211209,130268853.453988
20211210,130233051.21713313
20211213,130241606.43370786
20211214,130238115.2310857
20211215,130226821.34286752
20211216,130281075.56135987
20211217,130238388.68668291
20211220,130230278.31241843
20211221,130356351.3532121
20211222,130367650.36858076
20211223,130370630.71497326
20211224,130360777.62956797
20211227,130375433.62639603
20211228,130367904.87092577
20211229,130369548.05949351
20211230,130436734.8965702
20211231,130479388.77182963
20220104,130618884.26838124
20220105,130513732.70139319
20220106,130561660.14793083
20220107,130546997.57581145
20220110,130623045.96709123
20220111,130627426.239931
20220112,130627192.59213679
20220113,130563929.35003373
20220114,130480947.2388731
20220117,130539941.22657636
20220118,130513846.96869995
20220119,130500645.80927323
20220120,130507908.21795194
20220121,130476435.5497466
20220124,130487042.65126234
20220125,130436470.25086808
20220126,130424368.09584749
20220127,130392043.57503411
20220128,130365980.50290424
20220207,130395700.0883703
20220208,130438807.6460464
20220209,130441891.92643085
20220210,130508344.72316891
20220211,130495872.147534
20220214,130425083.9950743
20220215,130373100.11412236
20220216,130392439.42210872
20220217,130374105.49008925
20220218,130441825.69637455
20220221,130470350.1309566
20220222,130444356.04242544
20220223,130433682.197352
20220224,130379637.6769752
20220225,130359542.5044304
20220228,130371855.97016686
20220301,130371364.31280765
20220302,130410085.19165792
20220303,130462042.38003117
20220304,130433714.13603136
20220307,130426193.89798494
20220308,130332318.68191686
20220309,130362147.9921578
20220310,130385241.51012838
20220311,130377944.43927427
20220314,130332702.51911335
20220315,130307107.29682766
20220316,130332149.70685416
20220317,130331358.63096623
20220318,130338152.47075254
20220321,130373574.81831789
20220322,130379028.56811169
20220323,130409315.0204387
20220324,130417892.34481606
20220325,130411413.95392784
20220328,130420380.4010239
20220329,130421352.54784411
20220330,130468271.66333184
20220331,130482454.57625474
20220401,130482130.55530594
20220406,130550041.02596192
20220407,130475495.73493204
20220408,130505854.59044567
20220411,130486160.38718997
20220412,130475108.93720782
20220413,130447158.70606343
20220414,130497776.24986033
20220415,130439753.71596035
20220418,130369639.327456
20220419,130385849.21008724
20220420,130360451.73684037
20220421,130348908.06570299
20220422,130353147.84740864
20220425,130324561.54184678
20220426,130321756.5160294
20220427,130327067.45955168
20220428,130339411.68273276
20220429,130337174.51483276
20220505,130353482.02963117
20220506,130351531.37622857
20220509,130362437.63060229
20220510,130358438.97482471
20220511,130342118.59478597
20220512,130359654.0408457
20220513,130393101.45622668
20220516,130401880.65800294
20220517,130386517.9794701
20220518,130360484.24667664
20220519,130367488.13367866
20220520,130371641.16882852
20220523,130379372.58528109
20220524,130318307.0352427
20220525,130323389.71777183
20220526,130330548.40039225
20220527,130353669.44237389
20220530,130361750.07301968
20220531,130386589.90866509
20220601,130359590.97878192
20220602,130347776.81309412
20220606,130378323.1412399
20220607,130386568.62212993
20220608,130398572.42278482
20220609,130363036.06993185
20220610,130416775.26691908
20220613,130386894.45238887
20220614,130401372.94281821
20220615,130393650.17421184
20220616,130379885.30563207
20220617,130384921.0848705
20220620,130408497.27876484
20220621,130386860.72162622
20220622,130348995.53282136
20220623,130381794.50928764
20220624,130425891.32496722
20220627,130456058.65777068
20220628,130581426.42693795
20220629,130466362.02505831
20220630,130542760.9767627
20220701,130497787.5276878
20220704,130534565.76840577
20220705,130509154.73352264
20220706,130432928.37746947
20220707,130517635.22965237
20220708,130510758.24410532
20220711,130497128.10056578
20220712,130486381.14555097
20220713,130524758.40909998
20220714,130510531.04259528
20220715,130480567.88920681
20220718,130563868.99686462
20220719,130583106.70942916
20220720,130662486.26133128
20220721,130606890.89574918
20220722,130635533.79234007
20220725,130596169.61025144
20220726,130639861.78713413
20220727,130696616.48279724
20220728,130726248.48806193
20220729,130702766.98096268
20220801,130779528.730108
20220802,130637909.18155247
20220803,130624804.27591781
20220804,130652787.54441695
20220805,130675506.93288776
20220808,130725821.1411231
20220809,130753766.77368447
20220810,130815829.13356932
20220811,130878330.12041247
20220812,130876446.48894127
20220815,130924798.2729309
20220816,130960939.47098301
20220817,131022810.58701171
20220818,131062976.54538544
20220819,130985517.33741075
20220822,131033240.95519316
20220823,131120108.79471812
20220824,130956417.89946501
20220825,131012606.56633855
20220826,130958352.63390079
20220829,130989629.57348005
20220830,130958830.45322213
20220831,130923356.47915165
20220901,130913701.24693175
20220902,130943148.81595242
20220905,130989417.09046568
20220906,131031753.587231
20220907,131042062.94397235
20220908,131036657.53074606
20220909,131056119.54505429
20220913,131039476.0356744
20220914,131027838.85225293
20220915,130982425.62703028
20220916,130918529.27005778
20220919,130886452.55310215
20220920,130897613.0040568
20220921,130892110.27913342
20220922,130886948.69785811
20220923,130883720.92262182
20220926,130859492.25448059
20220927,130871841.1337317
20220928,130868610.07013106
20220929,130854171.73999536
20220930,130837489.43627766
20221010,130831852.60181418
20221011,130835590.39343373
20221012,130834004.77567999
20221013,130837159.63143645
20221014,130856035.00035135
20221017,130875644.90622583
20221018,130882022.26306793
20221019,130868313.62981382
20221020,130863918.56935507
20221021,130881610.71509369
20221024,130854221.10032098
20221025,130837058.68630594
20221026,130866230.3327682
20221027,130888122.9706038
20221028,130875023.81574938
20221031,130891387.25225183
20221101,130922808.13112773
20221102,130962952.12600671
20221103,130948312.76749706
20221104,130988083.0928231
20221107,131001658.67198864
20221108,131014436.29219817
20221109,131019859.06083442
20221110,131024690.03662615
20221111,131024603.99385737
20221114,131011273.31185898
20221115,131049649.11617675
20221116,131046576.44387272
20221117,131050636.68891932
20221118,131033509.13190174
20221121,131017526.07943349
20221122,130993913.90943435
20221123,130982122.1875872
20221124,130981525.14771661
20221125,130997595.77305369
20221128,131007377.66221274
20221129,131025146.32845257
20221130,131050608.87857725
20221201,131072751.87877162
