trade_date,nav_gross,nav_net,nav_hold
20130301,1090718.446097041,1087342.154465372,915749.7689045598
20130304,1090718.446097041,1087342.154465372,920491.3106834926
20130305,1090718.446097041,1087342.154465372,921966.4570147162
20130306,1090718.446097041,1087342.154465372,933662.2600694172
20130307,1090718.446097041,1087342.154465372,968644.3016384328
20130308,1090718.446097041,1087342.154465372,970066.7641721125
20130311,1090718.446097041,1087342.154465372,975703.9305092882
20130312,1090718.446097041,1087342.154465372,959793.4236510914
20130313,1090718.446097041,1087342.154465372,968486.2502458016
20130314,1090718.446097041,1087342.154465372,942723.8732469332
20130315,1090718.446097041,1087342.154465372,932345.1651308248
20130318,1090718.446097041,1087342.154465372,892726.9493779637
20130319,1090718.446097041,1087342.154465372,870230.9678268047
20130320,1090718.446097041,1087342.154465372,895150.4040649738
20130321,1090718.446097041,1087342.154465372,878660.3754337964
20130322,1090718.446097041,1087342.154465372,890619.5974762159
20130325,1090718.446097041,1087342.154465372,890514.2298811284
20130326,1090718.446097041,1087342.154465372,894992.3526723427
20130327,1090718.446097041,1087342.154465372,878713.0592313401
20130328,1090718.446097041,1087342.154465372,878871.1106239712
20130329,1090718.446097041,1087342.154465372,889618.6053228856
20130401,1090718.446097041,1087342.154465372,869019.2404832996
20130402,1090718.446097041,1087342.154465372,862486.4495878812
20130403,1090718.446097041,1087342.154465372,863224.0227534928
20130408,1090718.446097041,1087342.154465372,865700.1612380466
20130409,1090718.446097041,1087342.154465372,861906.9278149004
20130410,1090718.446097041,1087342.154465372,895413.8230526925
20130411,1090718.446097041,1087342.154465372,889934.7081081477
20130412,1090718.446097041,1087342.154465372,907373.0450951118
20130415,1090718.446097041,1087342.154465372,910059.9187698405
20130416,1090718.446097041,1087342.154465372,912272.6382666758
20130417,1090718.446097041,1087342.154465372,940353.1023574669
20130418,1090718.446097041,1087342.154465372,943830.232995351
20130419,1090718.446097041,1087342.154465372,944251.7033757004
20130422,1090718.446097041,1087342.154465372,915170.2471315792
20130423,1090718.446097041,1087342.154465372,905160.3255982766
20130424,1090718.446097041,1087342.154465372,921281.5676466482
20130425,1090718.446097041,1087342.154465372,930922.7025971448
20130426,1090718.446097041,1087342.154465372,916645.3934628027
20130502,1090718.446097041,1087342.154465372,901472.4597702178
20130503,1090718.446097041,1087342.154465372,908532.0886410731
20130506,1090718.446097041,1087342.154465372,936717.9203269517
20130507,1090718.446097041,1087342.154465372,988822.1960976691
20130508,1090718.446097041,1087342.154465372,995144.2518029127
20130509,1090718.446097041,1087342.154465372,1038819.1199666386
20130510,1090718.446097041,1087342.154465372,1038450.3333838328
20130513,1090718.446097041,1087342.154465372,1041453.3098438234
20130514,1063408.7695527447,1058740.3342841489,1007261.5252379633
20130515,1082709.0908579805,1077955.9258944108,1025542.8029856265
20130516,1083765.8807853565,1079008.076443676,1026543.7951389569
20130517,1089661.6561696648,1084877.9689816812,1032128.2776785889
20130520,1084600.1886227587,1079838.7216141485,1027334.0521021123
20130521,1084711.4296677457,1079949.4743035447,1027439.4196971998
20130522,1109462.562177342,1104591.9476942266,1050883.7096041453
20130523,1125981.8573579038,1121038.7220695803,1066530.7974746237
20130524,1117583.1584613894,1112676.8940201583,1058575.5440455254
20130527,1121476.5950359325,1116553.2381490297,1062263.4098735843
20130528,1124313.2416830997,1119377.4317286354,1064950.2835483125
20130529,1120697.9077210238,1115777.9693232554,1061525.8367079725
20130530,1113800.962931833,1108911.3025806833,1054993.0458125537
20130531,1096280.4983463886,1091467.7540007625,1038397.649586289
20130603,1123979.518548139,1119045.173660447,1064634.1807630507
20130604,1121865.9386933867,1116940.8725619167,1062632.19645639
20130605,1118918.0510012326,1114005.9262929142,1059839.955186574
20130606,1121643.4566034127,1116719.367183124,1062421.4612662152
20130607,1127391.9918395537,1122442.665967011,1067866.4778352196
20130613,1118488.203052479,1113577.9654052618,1059432.8029109123
20130614,1114524.580947265,1109631.7438648704,1055678.4572994465
20130617,1088445.0963709296,1083666.7499614249,1030975.9513921198
20130618,1100910.4006728344,1096077.3307478735,1042783.0962861504
20130619,1119177.5286359945,1114264.264803591,1060085.7325824716
20130620,1101427.3948604711,1096592.0552966204,1043272.79353982
20130621,1098153.0983387725,1093332.1331545576,1040171.3775999132
20130624,1066271.790101182,1061590.7859818435,1009973.380290296
20130625,1090513.0731214762,1085725.6481564117,1032934.7404067978
20130626,1084079.3676753317,1079320.1871053413,1026840.7301389109
20130627,1089019.5343571927,1084238.666126699,1031520.0594517527
20130628,1105046.3541739273,1100195.1271378472,1046700.6743155061
20130701,1116075.5635101746,1111175.9175111104,1057147.5490604546
20130702,1137099.9938073966,1132108.0491601438,1077061.9040430132
20130703,1137214.8814046492,1132222.4323931986,1077170.7256549397
20130704,1129459.9685901003,1124501.564161998,1069825.2668498978
20130705,1132332.1585214147,1127361.1449883685,1072545.8071480615
20130708,1121073.173990662,1116151.5881489955,1061881.2891792597
20130709,1103208.152617886,1098364.99540897,1044959.5285246813
20130710,1113490.5925719917,1108602.294767377,1054699.0627921075
20130711,1125726.1216793912,1120784.1090877159,1066288.5644622848
20130712,1084596.3618629684,1079834.9116540882,1027330.4273925805
20130715,1079656.1951811074,1074916.4326327306,1022651.0980797388
20130716,1096889.3347689942,1092073.9175909546,1038974.3398687212
20130717,1073739.4839225996,1069025.696130407,1017046.7850655216
20130718,1063112.381176736,1058445.2470728355,1006980.7859623159
20130719,1011068.2996213179,1006629.6424989993,957684.5957595895
20130722,1004577.1503765472,1000166.9898314015,951536.1746857394
20130723,1031633.1795295295,1027104.2412158132,977163.6642944417
20130724,1003083.6116122637,998680.0078016889,950121.4937306944
20130725,1026750.4566462949,1022242.9538109831,972538.7457875634
20130726,1005094.1445641839,1000681.7143801483,952025.8719394091
20130729,984127.1580655883,979806.7743476426,932165.9277628139
20130730,967525.9002625907,963278.3971712202,916441.2048394277
