date,nav_hold,nav_switch_A,nav_switch_B
20230504,13429257.794102116,9899533.50949059,8668899.209949316
20230505,13430025.224114921,9900099.229446558,8669394.603926683
20230508,13203786.856339546,9733324.986427082,8523352.459398821
20230509,13215144.820529083,9741697.641775414,8530684.290263856
20230510,13238167.72091328,9758669.240454465,8545546.109584874
20230511,13177310.52089772,9713807.647946173,8506261.36717965
20230512,13095425.73853126,9653445.328644346,8453402.829794567
20230515,13171401.309799109,9709451.604285216,8502446.833553923
20230516,13071558.665132973,9635851.43801373,8437996.077098446
20230517,13053984.517839704,9622896.451022055,8426651.555016736
20230518,12977241.516559046,9566324.455425218,8377112.157280012
20230519,13042473.067647606,9614410.65168253,8419220.645356229
20230522,13399328.023602659,9877470.431207823,8649578.844831994
20230523,13234714.285855649,9756123.500652606,8543316.836686721
20230524,13129960.089107554,9678902.726662925,8475695.558776094
20230525,13053984.517839704,9622896.451022055,8426651.555016736
20230526,12973864.824502697,9563835.287618956,8374932.423779596
20230529,12961892.916302916,9555010.05630585,8367204.277732668
20230530,12802958.160650674,9437849.453424798,8264608.185019912
20230531,12500667.47860617,9215012.362768857,8069472.497334957
20230601,12554869.254480604,9254967.83199654,8104461.008186398
20230602,12821020.940226477,9451164.64138431,8276268.13063976
20230605,12778043.736069126,9419483.495693088,8248525.342700346
20230606,12793315.99254647,9430741.617108362,8258383.940557389
20230607,12669833.275601516,9339714.896720553,8178672.965924327
20230608,12801067.238296278,9436455.538027672,8263387.550525033
20230609,12785718.23681151,9425140.843137948,8253479.411975242
20230612,13015953.259083025,9594861.26648377,8402101.490222095
20230613,13038976.761310177,9611833.308818351,8416963.698046781
20230614,13252941.84200784,9769560.15558107,8555083.149430856
20230615,13468748.802883673,9928644.765730552,8694391.577440906
20230616,13796373.239576042,10170156.928151658,8905880.79478618
20230619,13384329.29471745,9866413.943837084,8639896.81541706
20230620,13380185.064316565,9863358.97621686,8637221.618008617
20230621,13321628.623652175,9820193.415212573,8599422.069441168
20230626,13115721.768734016,9668406.78326696,8466504.390795732
20230627,13131454.495255902,9680004.345528925,8476660.232809266
20230628,13264453.593121417,9778046.176748361,8562514.253343198
20230629,13151868.667230643,9695052.889732255,8489838.057080487
20230630,12977580.755371107,9566574.529259467,8377331.14384762
20230703,13433946.030349638,9902989.497345194,8671925.575823389
20230704,13484593.121120054,9940324.589122204,8704619.454509575
20230705,13366001.010116098,9852903.035761267,8628065.480109
20230706,13269381.944646383,9781679.168371277,8565695.61923074
20230707,13168477.356111478,9707296.177830925,8500559.353232877
20230710,13253174.87559985,9769731.939002635,8555233.578051161
20230711,13324080.80267843,9822001.067490447,8601005.00821182
20230712,13353689.871128827,9843827.736529317,8620118.352674512
20230713,13545369.630044553,9985126.699254617,8743852.108932998
20230714,13659130.787775023,10068987.059246058,8817287.59028966
20230717,13479684.249245383,9936705.957149971,8701450.663190762
20230718,13423816.612195557,9895522.478989793,8665386.800086154
20230719,13425374.98421926,9896671.251044469,8666392.76558419
20230720,13433166.844337786,9902415.111317856,8671422.593074372
20230721,13801721.827944038,10174099.702249024,8909333.433359997
20230724,13800553.048926258,10173238.123208016,8908578.959236471
20230725,14247805.819729615,10502935.702900385,9197291.057172935
20230726,14247805.819729615,10502935.702900385,9197291.057172935
20230727,14321672.653653238,10557387.498292087,9244973.821779866
20230728,14781158.644842679,10896102.938613672,9541582.748875918
20230731,14653216.301696492,10801788.752924671,9458992.981487125
20230801,14718823.763894478,10850152.056426585,9501344.12895446
20230802,14648697.022827748,10798457.313966108,9456075.68154282
20230803,14636775.476846404,10789669.207747826,9448380.04548284
20230804,14753653.378624287,10875827.111848619,9523827.457835576
20230807,14710486.473567655,10844006.12593406,9495962.213539965
20230808,14726615.624013003,10855895.91669997,9506373.956444643
20230809,14728797.344846189,10857504.197576517,9507782.308141893
20230810,14609737.722235123,10769738.012599176,9430926.544091906
20230811,14290271.457375579,10534239.74139034,9224703.61699443
20230814,14048723.793701293,10356180.072915368,9068778.964798778
20230815,14126486.557684176,10413503.798443763,9118976.643150797
20230816,14181185.415716225,10453825.697562935,9154286.032131879
20230817,14243909.889670353,10500063.772763692,9194776.143427845
20230818,14045529.131052697,10353825.09020328,9066716.735527802
20230821,13955221.472278988,10287253.749634733,9008421.034916589
20230822,13931845.89192341,10270022.168814573,8993331.552446043
20230823,13822759.850264056,10189608.124987166,8922913.967583489
20230824,14152355.53327768,10432573.414551403,9135675.670418203
20230825,14219988.87910648,10482430.121724397,9179334.573032986
20230828,14297829.56169055,10539811.285855526,9229582.549659908
20230829,14425304.393229624,10633780.839928124,9311870.52739929
20230830,14461692.379983138,10660604.667404838,9335359.821778443
20230831,14391565.63891641,10608909.924944362,9290091.374366801
20230901,14423122.672396438,10632172.559051575,9310462.17570204
20230904,14539610.981168393,10718043.2701387,9385658.096680267
20230905,14482730.40230316,10676113.090142982,9348940.356001936
20230906,14500651.680575766,10689323.968771769,9360508.959229354
20230907,14321438.89784968,10557215.182483885,9244822.92695516
20230908,14169497.625538437,10445209.907152854,9146741.290896604
20230911,14198093.752173426,10466289.874356182,9165200.757785574
