trade_date,nav_gross,nav_net,nav_hold
20231012,1071103.3963756822,1021105.3690483102,2132450.8880185396
20231013,1060498.4122531507,1010995.414899317,2111337.512889643
20231016,1061462.5017188354,1011914.5016401346,2113256.9106286336
20231017,1062426.5911845202,1012833.5883809521,2115176.3083676244
20231018,1055677.964924727,1006399.9811952292,2101740.52419469
20231019,1021934.8336257634,974231.9452666147,2034561.6033300199
20231020,1021934.8336257634,974231.9452666147,2034561.6033300199
20231023,1012293.9389689165,965041.0778584391,2015367.625940114
20231024,1017114.38629734,969636.5115625268,2024964.6146350668
20231025,1000724.8653807003,954012.0369686283,1992334.8530722267
20231026,993976.2391209077,945873.5466720402,1998093.0462891988
20231027,993976.2391209077,945873.5466720402,2005770.6372451608
20231030,993976.2391209077,945873.5466720402,2005770.6372451608
20231031,993976.2391209077,945873.5466720402,2007690.0349841516
20231101,993976.2391209077,945873.5466720402,2011528.8304621326
20231102,993976.2391209077,945873.5466720402,2011528.8304621326
20231103,993976.2391209077,945873.5466720402,2011528.8304621326
20231106,993976.2391209077,945873.5466720402,2051836.1829809349
20231107,993976.2391209077,945873.5466720402,2034561.6033300199
20231108,993976.2391209077,945873.5466720402,2015367.625940114
20231109,993976.2391209077,945873.5466720402,2013448.2282011232
20231110,993976.2391209077,945873.5466720402,1976979.6711603024
20231113,993976.2391209077,945873.5466720402,1967382.6824653496
20231114,993976.2391209077,945873.5466720402,1971221.4779433303
20231115,993976.2391209077,945873.5466720402,1990415.4553332361
20231116,993976.2391209077,945873.5466720402,1965463.2847263587
20231117,993976.2391209077,945873.5466720402,1948188.7050754437
20231120,993976.2391209077,945873.5466720402,1955866.2960314055
20231121,993976.2391209077,945873.5466720402,1973140.8756823211
20231122,993976.2391209077,945873.5466720402,1950108.1028144339
20231123,993976.2391209077,945873.5466720402,1948188.7050754437
20231124,993976.2391209077,945873.5466720402,1938591.7163804905
20231127,993976.2391209077,945873.5466720402,1921317.1367295752
20231128,993976.2391209077,945873.5466720402,1909800.7502956316
20231129,993976.2391209077,945873.5466720402,1865654.6022988486
20231130,993976.2391209077,945873.5466720402,1857977.011342886
20231201,993976.2391209077,945873.5466720402,1854138.215864905
20231204,993976.2391209077,945873.5466720402,1848380.0226479333
20231205,993976.2391209077,945873.5466720402,1819589.0565630742
20231206,993976.2391209077,945873.5466720402,1823427.8520410554
20231207,993976.2391209077,945873.5466720402,1811911.465607112
20231208,993976.2391209077,945873.5466720402,1785039.897261244
20231211,993976.2391209077,945873.5466720402,1794636.8859561963
20231212,993976.2391209077,945873.5466720402,1808072.6701291306
20231213,993976.2391209077,945873.5466720402,1758168.3289153755
20231214,993976.2391209077,945873.5466720402,1756248.931176385
20231215,993976.2391209077,945873.5466720402,1767765.3176103288
20231218,993976.2391209077,945873.5466720402,1752410.135698404
20231219,993976.2391209077,945873.5466720402,1746651.9424814319
20231220,993976.2391209077,945873.5466720402,1733216.1583084976
20231221,993976.2391209077,945873.5466720402,1760087.7266543661
20231222,993976.2391209077,945873.5466720402,1765845.9198713377
20231225,993976.2391209077,945873.5466720402,1763926.522132347
20231226,993976.2391209077,945873.5466720402,1746651.9424814319
20231227,993976.2391209077,945873.5466720402,1750490.7379594129
20231228,993976.2391209077,945873.5466720402,1813830.8633461022
20231229,993976.2391209077,945873.5466720402,1802314.476912159
20240102,993976.2391209077,945873.5466720402,1767765.3176103288
20240103,993976.2391209077,945873.5466720402,1765845.9198713377
20240104,993976.2391209077,945873.5466720402,1748571.3402204227
20240105,993976.2391209077,945873.5466720402,1779281.704044272
20240108,993976.2391209077,945873.5466720402,1756248.931176385
20240109,993976.2391209077,945873.5466720402,1762007.1243933567
20240110,993976.2391209077,945873.5466720402,1744732.5447424413
20240111,993976.2391209077,945873.5466720402,1760087.7266543661
20240112,993976.2391209077,945873.5466720402,1763926.522132347
20240115,993976.2391209077,945873.5466720402,1767765.3176103288
20240116,993976.2391209077,945873.5466720402,1792717.4882172062
20240117,993976.2391209077,945873.5466720402,1771604.1130883098
20240118,993976.2391209077,945873.5466720402,1765845.9198713377
20240119,993976.2391209077,945873.5466720402,1760087.7266543661
20240122,993976.2391209077,945873.5466720402,1746651.9424814319
20240123,993976.2391209077,945873.5466720402,1758168.3289153755
20240124,993976.2391209077,945873.5466720402,1790798.0904782156
20240125,993976.2391209077,945873.5466720402,1823427.8520410554
20240126,993976.2391209077,945873.5466720402,1846460.6249089423
20240129,993976.2391209077,945873.5466720402,1861815.8068208671
20240130,993976.2391209077,945873.5466720402,1823427.8520410554
20240131,993976.2391209077,945873.5466720402,1815750.2610850933
20240201,993976.2391209077,945873.5466720402,1806153.27239014
20240202,993976.2391209077,945873.5466720402,1779281.704044272
20240205,993976.2391209077,945873.5466720402,1800395.0791731684
20240206,993976.2391209077,945873.5466720402,1857977.011342886
20240207,993976.2391209077,945873.5466720402,1844541.2271699517
20240208,993976.2391209077,945873.5466720402,1856057.6136038953
20240219,993976.2391209077,945873.5466720402,1882929.1819497636
20240220,993976.2391209077,945873.5466720402,1884848.5796887542
20240221,993976.2391209077,945873.5466720402,2072949.5581098318
20240222,993976.2391209077,945873.5466720402,2092143.5354997371
20240223,993976.2391209077,945873.5466720402,2082546.5468047843
20240226,993976.2391209077,945873.5466720402,2021125.8191570856
20240227,993976.2391209077,945873.5466720402,2015367.625940114
20240228,993976.2391209077,945873.5466720402,2013448.2282011232
20240229,993976.2391209077,945873.5466720402,2032642.205591029
20240301,993976.2391209077,945873.5466720402,2013448.2282011232
20240304,993976.2391209077,945873.5466720402,1982737.864377274
20240305,993976.2391209077,945873.5466720402,2001931.8417671798
20240306,993976.2391209077,945873.5466720402,1982737.864377274
20240307,993976.2391209077,945873.5466720402,1992334.8530722267
20240308,993976.2391209077,945873.5466720402,1992334.8530722267
20240311,993976.2391209077,945873.5466720402,2009609.4327231424
20240312,993976.2391209077,945873.5466720402,2026884.0123740574
20240313,993976.2391209077,945873.5466720402,1982737.864377274
20240314,993976.2391209077,945873.5466720402,1963543.886987368
20240315,993976.2391209077,945873.5466720402,2034561.6033300199
20240318,993976.2391209077,945873.5466720402,2023045.2168960762
20240319,993976.2391209077,945873.5466720402,1996173.6485502082
20240320,993976.2391209077,945873.5466720402,2005770.6372451608
20240321,993976.2391209077,945873.5466720402,2009609.4327231424
20240322,993976.2391209077,945873.5466720402,1988496.0575942455
20240325,993976.2391209077,945873.5466720402,1996173.6485502082
20240326,993976.2391209077,945873.5466720402,2034561.6033300199
20240327,993976.2391209077,945873.5466720402,2021125.8191570856
20240328,993976.2391209077,945873.5466720402,2013448.2282011232
20240329,993976.2391209077,945873.5466720402,2019206.421418095
20240401,993976.2391209077,945873.5466720402,2042239.194285982
20240402,993976.2391209077,945873.5466720402,2024964.6146350668
20240403,993976.2391209077,945873.5466720402,2007690.0349841516
20240408,993976.2391209077,945873.5466720402,2001931.8417671798
20240409,993976.2391209077,945873.5466720402,1996173.6485502082
20240410,993976.2391209077,945873.5466720402,1973140.8756823211
20240411,993976.2391209077,945873.5466720402,1967382.6824653496
20240412,993976.2391209077,945873.5466720402,1930914.125424528
20240415,993976.2391209077,945873.5466720402,1975060.2734213113
20240416,993976.2391209077,945873.5466720402,1973140.8756823211
20240417,993976.2391209077,945873.5466720402,2038400.3988080006
20240418,993976.2391209077,945873.5466720402,2072949.5581098318
20240419,993976.2391209077,945873.5466720402,2051836.1829809349
20240422,993976.2391209077,945873.5466720402,2015367.625940114
20240423,993976.2391209077,945873.5466720402,2023045.2168960762
20240424,993976.2391209077,945873.5466720402,2021125.8191570856
20240425,993976.2391209077,945873.5466720402,2036481.00106901
20240426,993976.2391209077,945873.5466720402,2034561.6033300199
20240429,993976.2391209077,945873.5466720402,2074868.9558488221
20240430,993976.2391209077,945873.5466720402,2071030.1603708407
20240506,993976.2391209077,945873.5466720402,2090224.137760747
20240507,993976.2391209077,945873.5466720402,2088304.7400217562
20240508,993976.2391209077,945873.5466720402,2059513.7739368975
20240509,993976.2391209077,945873.5466720402,2065271.967153869
20240510,993976.2391209077,945873.5466720402,2099821.1264556996
20240513,993976.2391209077,945873.5466720402,2105579.3196726716
20240514,993976.2391209077,945873.5466720402,2094062.9332387277
20240515,993976.2391209077,945873.5466720402,2078707.7513268034
20240516,993976.2391209077,945873.5466720402,2143967.274452483
20240517,993976.2391209077,945873.5466720402,2191952.2179272473
20240520,993976.2391209077,945873.5466720402,2184274.626971286
20240521,1014171.8694210676,963838.5461855739,2216904.3885341254
20240522,1015049.9403036833,964673.0384333536,2218823.786273116
20240523,1001000.806181833,951321.1624688782,2188113.4224492665
20240524,993098.1682382922,943810.7322388608,2170838.8427983513
20240527,1010659.5858906051,960500.5771944551,2209226.797578163
20240528,1001000.806181833,951321.1624688782,2188113.4224492665
20240529,988707.8138252139,939638.270999962,2161241.854103398
20240530,976414.821468595,927955.379531046,2134370.28575753
20240531,975536.7505859793,927120.8872832663,2132450.8880185396
20240603,964121.829111976,916272.48806213,2107498.717411662
20240604,967634.1126424385,919610.4570532489,2115176.3083676244
20240605,954463.0494032038,907093.073336553,2086385.3422827653
20240606,957097.2620510508,909596.5500798923,2092143.5354997371
20240607,964999.8999945917,917106.9803099098,2109418.115150653
20240611,954463.0494032038,907093.073336553,2086385.3422827653
20240612,955341.1202858196,907927.5655843329,2088304.7400217562
20240613,948316.5532248946,901251.6276020953,2072949.5581098318
20240614,957724.127306318,910192.3040290093,2093513.8163932653
20240617,950197.8080347555,903039.5157851664,2077061.841411786
20240618,948316.2282168651,901251.3187242058,2072948.8476664163
20240619,954901.7575794822,907510.0084375683,2087344.3257752107
20240620,945493.8584900291,898569.0231327646,2066779.3570483613
20240621,940789.9089453027,894098.5304803629,2056496.872684937
20240624,938908.3291274122,892310.3334194022,2052383.8789395671
20240625,939849.1190363574,891597.3785359183,2072948.8476664163
20240626,939849.1190363574,891597.3785359183,2072938.9014586029
20240627,939849.1190363574,891597.3785359183,2083221.3364856793
20240628,939849.1190363574,891597.3785359183,2087334.3104965098
20240701,939849.1190363574,891597.3785359183,2128464.050604815
20240702,939849.1190363574,891597.3785359183,2138746.485631892
20240703,939849.1190363574,891597.3785359183,2120238.102583154
20240704,939849.1190363574,891597.3785359183,2109955.667556078
20240705,939849.1190363574,891597.3785359183,2050317.5443990347
20240708,939849.1190363574,891597.3785359183,2042091.5963773737
20240709,939849.1190363574,891597.3785359183,2070882.4144531875
20240710,939849.1190363574,891597.3785359183,2085277.8234910949
20240711,939849.1190363574,891597.3785359183,2083221.3364856793
20240712,939849.1190363574,891597.3785359183,2120238.102583154
20240715,939849.1190363574,891597.3785359183,2124351.076593985
20240716,939849.1190363574,891597.3785359183,2118181.615577739
20240717,939849.1190363574,891597.3785359183,2138746.485631892
20240718,939849.1190363574,891597.3785359183,2140802.972637307
20240719,939849.1190363574,891597.3785359183,2132577.024615646
20240722,939849.1190363574,891597.3785359183,2103786.2065398325
20240723,939849.1190363574,891597.3785359183,2093503.7715127557
20240724,939849.1190363574,891597.3785359183,2083221.3364856793
20240725,939849.1190363574,891597.3785359183,2074995.388464018
20240726,939849.1190363574,891597.3785359183,2062656.4664315262
20240729,939849.1190363574,891597.3785359183,2079108.3624748487
20240730,939849.1190363574,891597.3785359183,2072938.9014586029
20240731,939849.1190363574,891597.3785359183,2112012.154561493
20240801,939849.1190363574,891597.3785359183,2112012.154561493
20240802,939849.1190363574,891597.3785359183,2085277.8234910949
20240805,939849.1190363574,891597.3785359183,2066769.4404423572
20240806,939849.1190363574,891597.3785359183,2042091.5963773737
20240807,939849.1190363574,891597.3785359183,2042091.5963773737
20240808,939849.1190363574,891597.3785359183,2044148.0833827888
20240809,939849.1190363574,891597.3785359183,2064712.9534369418
20240812,939849.1190363574,891597.3785359183,2058543.492420696
20240813,939849.1190363574,891597.3785359183,2046204.5703882042
20240814,939849.1190363574,891597.3785359183,2040035.1093719585
20240815,939849.1190363574,891597.3785359183,2062656.4664315262
20240816,939849.1190363574,891597.3785359183,2083221.3364856793
20240819,939849.1190363574,891597.3785359183,2116125.128572324
20240820,939849.1190363574,891597.3785359183,2126407.5635994
20240821,939849.1190363574,891597.3785359183,2128464.050604815
20240822,939849.1190363574,891597.3785359183,2134633.5116210612
20240823,939849.1190363574,891597.3785359183,2153141.8946697987
20240826,939849.1190363574,891597.3785359183,2157254.8686806294
20240827,939849.1190363574,891597.3785359183,2144915.9466481376
20240828,939849.1190363574,891597.3785359183,2124351.076593985
20240829,939849.1190363574,891597.3785359183,2083221.3364856793
20240830,939849.1190363574,891597.3785359183,2089390.797501925
20240902,939849.1190363574,891597.3785359183,2079108.3624748487
20240903,939849.1190363574,891597.3785359183,2072938.9014586029
20240904,939849.1190363574,891597.3785359183,2060599.979426111
20240905,939849.1190363574,891597.3785359183,2070882.4144531875
20240906,939849.1190363574,891597.3785359183,2072938.9014586029
20240909,939849.1190363574,891597.3785359183,2025639.7003340512
20240910,939849.1190363574,891597.3785359183,2035922.1353611278
20240911,939849.1190363574,891597.3785359183,1984509.9602257458
20240912,939849.1190363574,891597.3785359183,2003018.3432744835
20240913,939849.1190363574,891597.3785359183,1994792.3952528222
