entry_i,entry_date,entry_px_g,entry_px,first_cond_i,cash_before_g,cash_before_n,unclear,exit_i,exit_date,exit_px_g,exit_px,hold_days,ret_n,ret_g,lag,chase,exit_cls,late_cls,code,regime,near_turning_entry,near_turning_exit,top_drawback,missed,open_at_end
359,20130822,634.08282,634.7169028199999,356,1245614.0350877193,1241758.2680398573,60,438,20131223,695.97304,695.27706696,79,0.09420828163437434,0.09760589318600377,0.006487488415199305,0.19078947368421062,提前结束(暂时反走),发现太晚,000001.SZ,上升段,True,True,-0.17529330572808843,0.03682008368200851,
668,20141203,932.22848,933.1607084799999,665,1367193.3055474784,1358742.180677169,29,713,20150206,972.72926,971.7565307399999,45,0.04021516371043221,0.04344512195121952,0.054662379421221985,0.25430210325047775,提前结束(暂时反走),发现太晚,000001.SZ,上升段,True,True,-0.17571690054911548,0.1554404145077719,
737,20150319,1099.9159200000001,1101.01583592,734,1426591.1854378795,1413384.219913371,63,817,20150714,1221.1147999999998,1219.8936852,80,0.10675265953123247,0.11018922246347662,0.00454250486696961,0.1709531013615735,正确结束,发现太晚,000001.SZ,上升段,True,True,-0.2074285714285714,0.006488824801730297,
895,20151110,1100.7232000000001,1101.8239232,892,1583786.158934529,1564266.7443285997,47,949,20160126,887.45808,886.57062192,54,-0.1962457266815958,-0.1937500000000001,0.06048053024026534,0.2981744421906696,正确结束,发现太晚,000001.SZ,震荡段,True,True,-0.2448355011476664,0.04457953394123626,
1086,20160817,997.2961599999999,998.2934561599998,1083,1276927.5906409638,1257286.0803639796,85,1175,20161229,950.1550599999999,949.2049049399999,89,-0.050218062797481866,-0.04726890756302515,0.00210526315789461,0.06846240179573493,中性,及时,000001.SZ,震荡段,True,False,-0.07157464212678932,0.03083700440528636,
1308,20170719,1151.29042,1152.44171042,1305,1216568.6183942796,1194147.6090258614,142,1478,20180329,1160.89428,1159.73338572,170,0.005220525358070827,0.008341822213720818,0.008256880733944927,0.2197558268590456,提前结束(暂时反走),发现太晚,000001.SZ,上升段,True,True,-0.27493438320209973,0.0805429864253393,
1618,20181026,1219.6699899999999,1220.8896599899997,1615,1226717.0175197166,1200381.6869000606,20,1643,20181130,1104.0768200000002,1102.9727431800002,25,-0.09757624039229673,-0.09477413640389698,0.04151291512915134,0.16632231404958664,提前结束(暂时反走),发现太晚,000001.SZ,上升段,True,True,-0.08399646330680821,0.02895752895752901,
1688,20190212,1209.9472,1211.1571471999998,1685,1110455.9715723214,1083252.9548565897,48,1761,20190530,1330.9419200000002,1329.6109780800002,73,0.09659497755069135,0.10000000000000009,0.009009009009009139,0.22404371584699434,提前结束(暂时反走),发现太晚,000001.SZ,上升段,True,True,-0.17654986522911043,0.1453270118971275,
1787,20190708,1508.71558,1510.22429558,1784,1221501.5687295536,1187889.749712682,89,1890,20191206,1688.84443,1687.15558557,103,0.11592713476576688,0.11939218523878448,-0.013561741613133393,0.20392931594666797,提前结束(暂时反走),发现太晚,000001.SZ,上升段,True,True,-0.11363636363636376,0.11154253426409433,
1908,20200102,1817.6705099999997,1819.4881805099994,1905,1367339.3102927783,1325598.4048144973,43,1961,20200325,1406.101872,1404.695770128,53,-0.22882100404843542,-0.2264264264264264,0.00120631427117468,0.39798488664987364,提前结束(暂时反走),发现太晚,000001.SZ,震荡段,True,True,-0.25778546712802775,0.06449106449106456,
2071,20200903,1701.266084,1702.967350084,2068,1057737.5565508099,1022273.6468598397,104,2198,20210317,2382.00105,2379.61904895,127,0.3958002500269209,0.4001343307799696,0.01591511936339529,0.14072970960536124,中性,发现太晚,000001.SZ,上升段,True,True,-0.16238640853417619,0.042924528301886866,
