code,rows,start,end,hold_cagr,hold_mdd,hold_sharpe,swing_cagr,swing_mdd,swing_sharpe,swing_trades,swing_win,swA_cagr,swA_mdd,swA_sharpe,swA_cagr_diff,swA_mdd_diff,swA_tim,swA_hedges,swA_hedge_ok,swA_hedge_ok_ratio,swA_cls,swB_cagr,swB_mdd,swB_sharpe,swB_cagr_diff,swB_mdd_diff,swB_tim,swB_hedges,swB_hedge_ok,swB_hedge_ok_ratio,swB_cls
000680.SZ,3524,20120215,20260821,0.03574637337549014,-0.7536971447583327,0.24421063534738938,-0.042458162467053695,-0.8271028598668253,-0.019657192178767532,23,0.30434782608695654,-0.03958498199369176,-0.8271028598668253,-0.010917714457803172,-0.0753313553691819,-0.07340571510849259,0.5133371169125993,22,8,0.36363636363636365,FAIL,0.008372941427051694,-0.7507722137499842,0.16531604200366715,-0.027373431948438443,0.0029249310083485636,0.8243473325766175,32,10,0.3125,中性
000681.SZ,3109,20130912,20260821,0.008417249539524052,-0.8617208907410533,0.2528297885866823,-0.13371470424384846,-0.9429269755231793,-0.15816233790932854,24,0.25,-0.13551437708192637,-0.9429269755231793,-0.16240585905576346,-0.14393162662145043,-0.08120608478212599,0.5516243165004825,24,6,0.25,FAIL,-0.06672243587378546,-0.9125593756431984,0.06545886227042273,-0.07513968541330951,-0.050838484902145153,0.7825667417175941,31,12,0.3870967741935484,FAIL
000682.SZ,3316,20120215,20260821,0.07693657389276876,-0.738488271068636,0.3434951838596486,0.015964208066205687,-0.7150204916046093,0.12969356620378936,19,0.3684210526315789,0.015546150510828083,-0.7150204916046095,0.12825497015663237,-0.06139042338194067,0.02346777946402656,0.4764776839565742,19,9,0.47368421052631576,FAIL,0.04267203902132244,-0.799073352416686,0.2476282907970726,-0.03426453487144632,-0.06058508134804996,0.8431845597104946,29,14,0.4827586206896552,FAIL
000683.SZ,3405,20120215,20260821,0.04466919366704136,-0.749971343878453,0.25978723500546363,0.05138210549986688,-0.7996963132309838,0.25434754530226455,18,0.5,0.051577648382526986,-0.7996963132309836,0.2549447375595375,0.0069084547154856235,-0.04972496935253057,0.5113069016152717,18,9,0.5,反例,0.048196006151970616,-0.767204455427478,0.25858343827597113,0.0035268124849292537,-0.01723311154902496,0.7979441997063142,29,10,0.3448275862068966,反例
000685.SZ,3508,20120215,20260821,0.06316784188696434,-0.6923582018103491,0.28064849049206986,0.000648470005843782,-0.7352576797940342,0.03040449950477128,15,0.5333333333333333,0.002588018345914822,-0.735257679794034,0.038466328467943706,-0.060579823541049516,-0.042899477983684875,0.49372862029646525,15,7,0.4666666666666667,FAIL,0.014844755952323485,-0.740697968083252,0.1151215187821482,-0.04832308593464085,-0.04833976627290282,0.8677309007981756,26,7,0.2692307692307692,FAIL
000686.SZ,3513,20120221,20260821,0.0251993349765518,-0.7885000992735,0.19797221585884753,-0.03176850532567721,-0.7896222771232797,-0.046868996436950666,21,0.23809523809523808,-0.023087816790633986,-0.7896222771232797,-0.015165491712666944,-0.04828715176718579,-0.0011221778497797485,0.44776544264161683,21,5,0.23809523809523808,FAIL,0.0031192536545179284,-0.7634476458448083,0.11591593170344794,-0.022080081322033873,0.025052453428691668,0.8035866780529461,33,8,0.24242424242424243,中性
000687.SZ,2295,20120215,20220616,-0.23645404022995042,-0.9906071787990607,-0.26633008579507095,0.04644545450119808,-0.7142801096971263,0.2634920260452564,11,0.45454545454545453,0.04975733192570475,-0.7142801096971265,0.272587223714638,0.2862113721556552,0.27632706910193416,0.40784313725490196,11,7,0.6363636363636364,PASS,-0.2084878556106896,-0.9850700304834922,-0.3504530548998525,0.027966184619260814,0.0055371483155685075,0.7546840958605664,27,13,0.48148148148148145,反例
000688.SZ,2944,20130605,20260821,0.11320053732344859,-0.6955461504934572,0.43942696038530243,0.015343612514138405,-0.813321482598023,0.16775372691823515,16,0.375,-0.006890506421774578,-0.813321482598023,0.10674175383630798,-0.12009104374522317,-0.1177753321045657,0.5968070652173914,16,5,0.3125,FAIL,0.043706396720064156,-0.7545926762223369,0.27589068310823084,-0.06949414060338444,-0.059046525728879695,0.8417119565217391,25,7,0.28,FAIL
000690.SZ,3475,20120215,20260821,0.05387273310149632,-0.731931123199572,0.2674280286671692,0.0008219277039172024,-0.7976479116616637,0.05750396879547171,19,0.42105263157894735,0.002704541396051585,-0.7976479116616637,0.06445342637341625,-0.05116819170544473,-0.06571678846209172,0.4981294964028777,19,6,0.3157894736842105,FAIL,0.07078328427294434,-0.645595777973702,0.30823760217663737,0.01691055117144802,0.08633534522586994,0.8316546762589928,25,11,0.44,PASS
000693.SZ,471,20140221,20190708,-0.5054533209980467,-0.9891304347826086,-2.212551959465608,-0.20813800708154728,-0.7362803734245897,-1.3055926703689649,5,0.0,-0.22462956747573526,-0.7481056392354036,-1.421296794085181,0.2808237535223115,0.24102479554720502,0.3991507430997877,5,1,0.2,PASS,-0.2683659348351889,-0.8620399882680162,-1.198938011688037,0.23708738616285785,0.12709044651459245,0.7515923566878981,6,2,0.3333333333333333,PASS
000697.SZ,3320,20120215,20260821,-0.029522412991106806,-0.8810666694455143,0.11231884467096595,-0.08929102291343372,-0.9080321406760342,-0.1765323547819603,21,0.3333333333333333,-0.09073772402515379,-0.9080321406760342,-0.18133403797824632,-0.06121531103404698,-0.026965471230519955,0.5551204819277108,21,9,0.42857142857142855,FAIL,-0.07982165896833171,-0.9381420437497202,-0.06103650653417918,-0.050299245977224905,-0.05707537430420595,0.7867469879518072,32,11,0.34375,FAIL
000698.SZ,3427,20120215,20260821,-0.03828511089743003,-0.7964297695678612,0.06977457233200267,-0.15364702753714643,-0.9663884411983306,-0.44944318273373274,22,0.13636363636363635,-0.1539328485076914,-0.9663884411983306,-0.450553632074288,-0.11564773761026137,-0.1699586716304694,0.5252407353370294,22,7,0.3181818181818182,FAIL,-0.04794748349072642,-0.7985194674308875,0.014294119271225529,-0.009662372593296387,-0.002089697863026374,0.7890283046396265,34,12,0.35294117647058826,中性
000703.SZ,3451,20120216,20260821,0.0596271452738919,-0.7301614708233413,0.2976371348419375,-0.02027357733502655,-0.7399931997714293,0.02291158661923346,23,0.30434782608695654,-0.009453554357315097,-0.7399931997714294,0.058767137722906204,-0.069080699631207,-0.009831728948088148,0.5181106925528832,22,6,0.2727272727272727,FAIL,0.02911764946410056,-0.7327093555053603,0.20770336116234803,-0.030509495809791343,-0.0025478846820190526,0.8122283396117067,33,11,0.3333333333333333,FAIL
000707.SZ,3404,20120215,20260821,-0.040215931190981435,-0.836111188402571,0.026906494386006174,0.006341032295171578,-0.7673742701400587,0.09319789306964722,19,0.3684210526315789,0.007729612963846666,-0.7673742701400585,0.09803067119700598,0.0479455441548281,0.06873691826251249,0.46504112808460635,19,10,0.5263157894736842,PASS,-0.022719868177611957,-0.8365648288314573,0.04500188045112008,0.01749606301336948,-0.00045364042888629275,0.7943595769682726,27,13,0.48148148148148145,反例
000708.SZ,3414,20120215,20260821,0.0898673464851325,-0.6635929685924256,0.36642185190571896,0.06773171138898437,-0.5672558014150977,0.30064493114103147,18,0.3333333333333333,0.06905544485164739,-0.5672558014150976,0.30516250144057694,-0.02081190163348512,0.09633716717732799,0.5626830697129467,17,6,0.35294117647058826,PASS,0.05822624148068378,-0.7646921488630961,0.2748355281636277,-0.03164110500444872,-0.10109918027067055,0.832747510251904,25,9,0.36,FAIL
000709.SZ,3487,20120215,20260821,-0.009550972958613957,-0.7063275878118407,0.058748035173588516,-0.0713493516989292,-0.8213072428604734,-0.28365535440835354,18,0.2222222222222222,-0.06743980610502776,-0.8213072428604735,-0.2655317800271579,-0.0578888331464138,-0.11497965504863283,0.4594207054774878,18,4,0.2222222222222222,FAIL,-0.06967174165806755,-0.8353081773878851,-0.16936524051677365,-0.0601207686994536,-0.1289805895760444,0.810438772583883,32,14,0.4375,FAIL
000712.SZ,3298,20120220,20260821,0.028421772120951427,-0.8565488422702654,0.2526418337145738,-0.09458952407118637,-0.9468527856549684,-0.240765285336974,22,0.18181818181818182,-0.09310621445568423,-0.9468527856549684,-0.2351339474870782,-0.12152798657663566,-0.09030394338470304,0.41904184354154034,22,5,0.22727272727272727,FAIL,-0.014808442160948676,-0.8744878077581242,0.11779283862965136,-0.0432302142819001,-0.017938965487858782,0.7771376591873863,35,13,0.37142857142857144,FAIL
000713.SZ,3374,20120215,20260821,-0.012191574989026677,-0.7986289820505557,0.13657769175068582,-0.046662034241629735,-0.807855740025223,-0.0876111560933506,18,0.2777777777777778,-0.047022281763053786,-0.807855740025223,-0.08884482776815777,-0.03483070677402711,-0.009226757974667321,0.36781268524007116,17,8,0.47058823529411764,FAIL,-0.08543710134012006,-0.8639847389664558,-0.08891065544879308,-0.07324552635109338,-0.06535575691590012,0.8073503260225252,35,14,0.4,FAIL
000717.SZ,3432,20120217,20260821,-0.00884239140638976,-0.8376232535200603,0.1400511421659392,-0.054048817752972544,-0.9069205850031217,-0.115526305441667,21,0.14285714285714285,-0.05088471649853388,-0.9069205850031217,-0.1037204831086603,-0.04204232509214412,-0.06929733148306139,0.44143356643356646,21,8,0.38095238095238093,FAIL,0.023170755599542847,-0.7721384124357638,0.19750630093333885,0.03201314700593261,0.06548484108429653,0.7695221445221445,32,14,0.4375,PASS
000718.SZ,3367,20120215,20260821,-0.033180195752242736,-0.872692580288053,0.07173909384898497,-0.00283689701146439,-0.7199960211761445,0.06810924682418165,18,0.3888888888888889,0.006135327128219625,-0.7199960211761446,0.09941432271328855,0.03931552288046236,0.15269655911190838,0.41877041877041876,18,8,0.4444444444444444,PASS,0.011088940285014948,-0.8140395278117037,0.15993569746380865,0.044269136037257684,0.05865305247634922,0.7626967626967627,30,14,0.4666666666666667,PASS
000719.SZ,3308,20120215,20260821,0.03671340998499151,-0.7493137591142227,0.24167781453538897,-0.06124762743069079,-0.7890847617267751,-0.11485682067970628,20,0.3,-0.059934914591070365,-0.7890847617267751,-0.10983707092161858,-0.09664832457606187,-0.0397710026125524,0.538391777509069,19,2,0.10526315789473684,FAIL,-0.007841844069581994,-0.770992204723147,0.10654510007831637,-0.0445552540545735,-0.02167844560892429,0.8473397823458283,29,12,0.41379310344827586,FAIL
000723.SZ,3278,20120321,20260821,-0.015232128267198664,-0.8371657462381185,0.1631078154639442,0.023982254673062364,-0.7584576565242473,0.1887736453143966,18,0.4444444444444444,0.014109909801759635,-0.7584576565242475,0.16024392714901342,0.029342038068958298,0.078708089713871,0.44264795607077484,19,9,0.47368421052631576,PASS,0.009048345345171738,-0.855325469300019,0.1910792601354507,0.0242804736123704,-0.0181597230619005,0.7574740695546065,32,11,0.34375,反例
000725.SZ,3517,20120215,20260821,0.09433265711781202,-0.6118337187406351,0.37053429355041106,0.09912079958384634,-0.41098901098901097,0.39848965420855453,14,0.5714285714285714,0.09841803295525575,-0.41098901098901097,0.3961425313243955,0.004085375837443728,0.2008447077516241,0.47767984077338643,14,4,0.2857142857142857,PASS,0.10023340604905728,-0.5592808591284243,0.38788600771878473,0.005900748931245259,0.05255285961221079,0.8657947114017629,23,9,0.391304347826087,PASS
000726.SZ,3495,20120215,20260821,0.003351572232399125,-0.6531733870088863,0.0740092170376512,-0.06589859373088924,-0.8184043830300209,-0.27568728087207817,19,0.3157894736842105,-0.06639926936561036,-0.8184043830300209,-0.27794647646290505,-0.06975084159800948,-0.16523099602113467,0.5007153075822603,18,6,0.3333333333333333,FAIL,-0.00763709811234925,-0.6657421397752091,0.02152412980947358,-0.010988670344748375,-0.012568752766322855,0.8603719599427754,24,9,0.375,中性
000727.SZ,3411,20120215,20260821,-0.0364700771542017,-0.8643640223419082,0.07405114234701553,-0.12388863340192058,-0.9133219401489714,-0.33954786428930506,19,0.2631578947368421,-0.12542300330076694,-0.9133219401489714,-0.34508169924303334,-0.08895292614656525,-0.048957917807063156,0.46437994722955145,19,4,0.21052631578947367,FAIL,-0.09801660200729023,-0.915567646058684,-0.1319780447893061,-0.061546524853088536,-0.05120362371677578,0.8056288478452067,32,13,0.40625,FAIL
000728.SZ,3496,20120215,20260821,0.03694964138033696,-0.7779207056471249,0.22892436364302735,-0.059472629120620235,-0.8538365343910044,-0.13222191935639663,18,0.2777777777777778,-0.049213826198330035,-0.8538365343910044,-0.09461631364344378,-0.086163467578667,-0.07591582874387948,0.4290617848970252,18,2,0.1111111111111111,FAIL,-0.00985942441594223,-0.768617449164041,0.08656682706459148,-0.04680906579627919,0.009303256483083944,0.8266590389016019,30,9,0.3,FAIL
000729.SZ,3521,20120215,20260821,0.04343287317262989,-0.5636716194078679,0.22426947956045024,-0.0034628744389466615,-0.5983365252674976,0.04096386556542861,19,0.3684210526315789,-3.683369209639409e-06,-0.5983365252674977,0.05375292061190453,-0.04343655654183953,-0.03466490585962978,0.6245384833854019,18,6,0.3333333333333333,FAIL,0.009841849789371748,-0.6749346277560161,0.11105627693609471,-0.033591023383258145,-0.11126300834814817,0.871343368361261,23,6,0.2608695652173913,FAIL
000731.SZ,3524,20120215,20260821,0.0028165324497591016,-0.7757867917946883,0.14853468485897556,-0.033606737334390124,-0.7761287827584509,-0.012635135541990094,20,0.35,-0.0324323471303255,-0.7761287827584507,-0.00885517188273662,-0.0352488795800846,-0.0003419909637623064,0.4650964812712826,20,7,0.35,FAIL,-0.014200850430576395,-0.841513587064299,0.09267391217648423,-0.017017382880335497,-0.06572679526961067,0.8635073779795687,27,7,0.25925925925925924,中性
000732.SZ,2704,20120216,20230602,-0.1508400283285679,-0.979185360094451,-0.17131196347220654,-0.120218950754867,-0.9518476786107886,-0.2447264702788068,15,0.3333333333333333,-0.11519451117351975,-0.9518476786107886,-0.22813865035632186,0.035645517155048156,0.027337681483662446,0.5196005917159763,15,5,0.3333333333333333,反例,-0.002994258823446949,-0.8692621986909216,0.15027093327409172,0.14784576950512096,0.10992316140352942,0.7414940828402367,24,10,0.4166666666666667,PASS
000733.SZ,3495,20120215,20260821,0.13386775304478182,-0.7567640701545074,0.4610002043460367,-0.009514075058742355,-0.8141074740246121,0.10174545664934868,22,0.36363636363636365,-0.008649477202560596,-0.8141074740246121,0.10410956514927011,-0.14251723024734242,-0.057343403870104726,0.5562231759656653,21,3,0.14285714285714285,FAIL,0.026404466109718916,-0.8364153282416315,0.22854044019275738,-0.10746328693506291,-0.07965125808712403,0.8589413447782547,29,8,0.27586206896551724,FAIL
000735.SZ,3509,20120215,20260821,0.012959783085533694,-0.7578401382005213,0.1997950043815285,-0.053086355433691224,-0.7848869292721028,-0.036031024279185496,21,0.23809523809523808,-0.05064578492335248,-0.7848869292721028,-0.02871336799398739,-0.06360556800888617,-0.027046791071581477,0.49501282416642917,20,5,0.25,FAIL,-0.03754873291440419,-0.8032357435410047,0.052722894547036485,-0.050508515999937886,-0.04539560534048337,0.8133371330863494,31,9,0.2903225806451613,FAIL
000737.SZ,3463,20120215,20260821,0.09270792898105618,-0.79073756432247,0.3798071472627488,-0.051261733289292066,-0.8556914692840301,-0.07177528964742046,22,0.36363636363636365,-0.051646436760936165,-0.8556914692840301,-0.0730440525078698,-0.14435436574199234,-0.06495390496156006,0.4484550967369333,21,6,0.2857142857142857,FAIL,-0.0010525234415850182,-0.833587848194685,0.15237395286711292,-0.0937604524226412,-0.04285028387221501,0.8278948888247184,36,10,0.2777777777777778,FAIL
000738.SZ,3517,20120215,20260821,0.03531230478399139,-0.7492154806491885,0.2497883200827881,-0.03657781873888721,-0.8805095303098822,-0.041300656711339014,21,0.3333333333333333,-0.03457699918584756,-0.8805095303098822,-0.034324028909946784,-0.06988930396983895,-0.1312940496606937,0.4657378447540517,20,6,0.3,FAIL,-0.0897048381197505,-0.9050293557203226,-0.11542650029436259,-0.12501714290374188,-0.1558138750711341,0.8322433892522035,34,8,0.23529411764705882,FAIL
000739.SZ,3461,20120319,20260821,0.1522861384380758,-0.7265100045771301,0.5040141975662541,0.03669390542865547,-0.6580437697351502,0.20227826252542938,21,0.42857142857142855,0.02830641848569493,-0.6580437697351503,0.17647249244669566,-0.12397971995238088,0.06846623484197978,0.5648656457671193,21,5,0.23809523809523808,中性,0.057536604478302555,-0.7620653994637654,0.2798037822702607,-0.09474953395977326,-0.03555539488663528,0.8361745160358278,32,8,0.25,FAIL
000748.SZ,949,20120215,20161031,0.5114989038845799,-0.5888501742160279,1.3914561657029454,0.3828725823777961,-0.4525481076262201,1.2343859119732619,5,0.8,0.3822622208290487,-0.4525481076262201,1.232670995718184,-0.12923668305553115,0.1363020665898078,0.6870389884088515,4,2,0.5,中性,0.5715278831865533,-0.4724087961538762,1.5712659944464744,0.060028979301973484,0.11644137806215171,0.8893572181243414,5,3,0.6,PASS
000750.SZ,3476,20120221,20260821,0.02730995894317223,-0.8121032547865095,0.21610501553726244,-0.05296684008788766,-0.833968982392704,-0.10827880188028823,17,0.35294117647058826,-0.051309842913139,-0.8339689823927039,-0.10214882977984303,-0.07861980185631123,-0.02186572760619443,0.41196777905638665,17,6,0.35294117647058826,FAIL,-0.033281901108910605,-0.8272309420021416,0.028222092992438254,-0.060591860052082835,-0.01512768721563218,0.8055235903337169,32,10,0.3125,FAIL
000751.SZ,3152,20120215,20260821,-0.0067373103470785844,-0.8053745928338762,0.1861316341313299,-0.07332879551247007,-0.9212317448343758,-0.014303994859538224,20,0.35,-0.06882977328153073,-0.9212317448343758,-0.003629970126648115,-0.06209246293445214,-0.11585715200049951,0.5234771573604061,20,8,0.4,FAIL,-0.052189853877442016,-0.8716317029149622,0.07586244099354447,-0.04545254353036343,-0.06625711008108592,0.8429568527918782,27,6,0.2222222222222222,FAIL
000755.SZ,3171,20120216,20260821,-0.03434695365823481,-0.8133074935400517,0.06967027188271525,-0.038084254470388657,-0.8519833885487826,-0.045205428644417324,20,0.3,-0.038380146339104804,-0.8519833885487827,-0.046222277041476224,-0.00403319268086999,-0.03867589500873103,0.4660990223904131,20,12,0.6,中性,-0.06199370962103379,-0.885022060630767,-0.04021820675794868,-0.027646755962798975,-0.07171456709071533,0.7978555660674866,32,12,0.375,中性
000758.SZ,3501,20120215,20260821,-0.0266959850522851,-0.754420734937117,0.10052685858618031,-0.08356367093609185,-0.8495946063625219,-0.16170789352507464,23,0.43478260869565216,-0.08124556831180318,-0.8495946063625219,-0.15395639927302177,-0.054549583259518086,-0.0951738714254049,0.48728934590117107,22,7,0.3181818181818182,FAIL,-0.07397348774526225,-0.7824960535299887,-0.04818625439184073,-0.04727750269297715,-0.028075318592871712,0.8171950871179663,31,10,0.3225806451612903,FAIL
000759.SZ,3495,20120215,20260821,-0.02201345056662607,-0.8004000479571907,0.11822459603462251,-0.0852531747800972,-0.9075960216501562,-0.1834809634721989,20,0.25,-0.09197466099260232,-0.9075960216501562,-0.20275915393337324,-0.06996121042597625,-0.10719597369296552,0.44892703862660943,20,7,0.35,FAIL,-0.08627993244986831,-0.9085063165524278,-0.07307555523006229,-0.06426648188324224,-0.10810626859523709,0.842346208869814,32,8,0.25,FAIL
000761.SZ,3498,20120215,20260821,-0.029933717545272187,-0.6821192873434203,0.046705486946908834,-0.01429839994300186,-0.698108923233552,-0.010786104712629302,19,0.21052631578947367,-0.022154721832043034,-0.698108923233552,-0.036868568830642406,0.007778995713229153,-0.015989635890131693,0.47284162378502004,19,8,0.42105263157894735,反例,-0.01650209714068762,-0.6617024014078987,0.056138075104613695,0.013431620404584566,0.0204168859355216,0.7953116066323613,29,13,0.4482758620689655,反例
000762.SZ,3463,20120215,20260821,0.028503221980214377,-0.7981563890654799,0.26900822062295987,-0.01782264530796074,-0.8289890139799716,0.0847932320521115,23,0.30434782608695654,-0.01542337952709072,-0.8289890139799716,0.09138133640124042,-0.043926601507305096,-0.03083262491449168,0.45105399942246605,23,10,0.43478260869565216,FAIL,0.020871754481110782,-0.8210712955839108,0.22697024643863262,-0.007631467499103595,-0.022914906518430866,0.7548368466647416,40,16,0.4,中性
000766.SZ,3096,20120215,20260821,0.08024816394677137,-0.884163628999595,0.37856139846552495,0.0819574443640354,-0.6043899120166034,0.36834446840379687,17,0.47058823529411764,0.0840482243882108,-0.6043899120166033,0.3741693179280813,0.0038000604414394346,0.2797737169829917,0.5426356589147286,16,7,0.4375,PASS,0.07301069085695389,-0.8855464697713713,0.3516012994127997,-0.007237473089817481,-0.0013828407717763058,0.810077519379845,24,7,0.2916666666666667,中性
000767.SZ,3478,20120215,20260821,-0.008610280306287632,-0.8209982788296041,0.1347912269079508,-0.05830633475246716,-0.8788203835512232,-0.0937440860584632,15,0.2,-0.05528957380793076,-0.8788203835512232,-0.08250467025082181,-0.046679293501643127,-0.05782210472161908,0.44968372627947095,15,5,0.3333333333333333,FAIL,-0.08338604976519581,-0.9368556925895166,-0.08086557470388583,-0.07477576945890818,-0.11585741375991254,0.8453133985048878,30,7,0.23333333333333334,FAIL
000768.SZ,3507,20120215,20260821,0.07327486846885356,-0.7328011566507417,0.3276352190874509,-0.013510885110063264,-0.7809514014796172,0.04316741770948015,24,0.2916666666666667,-0.012414952657065381,-0.7809514014796171,0.04669684387973489,-0.08568982112591894,-0.04815024482887531,0.5295124037639007,23,7,0.30434782608695654,FAIL,-0.03629651869394146,-0.8665634711731114,0.030210581130256643,-0.10957138716279502,-0.13376231452236964,0.8229255774165953,37,10,0.2702702702702703,FAIL
000776.SZ,3519,20120215,20260821,0.06174738610430475,-0.6095044438910864,0.28617233300740164,-0.04509922306842473,-0.7837037972785549,-0.10943048017896052,21,0.3333333333333333,-0.030271686249577878,-0.7837037972785549,-0.05214911267261603,-0.09201907235388262,-0.1741993533874685,0.5458937198067633,21,5,0.23809523809523808,FAIL,0.05101166007631708,-0.575713637435133,0.2474525206679803,-0.010735726027987669,0.03379080645595334,0.8508098891730606,28,10,0.35714285714285715,PASS
000777.SZ,3489,20120215,20260821,0.030184605173992907,-0.8358351709655569,0.24167193980579205,-0.05284329691138767,-0.9016834479245088,-0.028787644112216595,18,0.2777777777777778,-0.052999518595141626,-0.9016834479245088,-0.029235304386383297,-0.08318412376913453,-0.0658482769589519,0.6371453138435081,18,6,0.3333333333333333,FAIL,-0.020791160687825605,-0.8730625817126123,0.10053762631437402,-0.05097576586181851,-0.03722741074705538,0.8664373746059043,25,8,0.32,FAIL
