date,nav_hold,nav_switch_A,nav_switch_B
20160301,1370413.2654314889,1163813.1455106342,1495146.0801121986
20160302,1426925.1526657771,1163813.1455106342,1495146.0801121986
20160303,1428337.9498466342,1163813.1455106342,1496164.2373383564
20160304,1469309.0680914933,1163813.1455106342,1539080.9167476667
20160307,1460832.2850063501,1163813.1455106342,1530201.60376643
20160308,1452355.5019212067,1163813.1455106342,1521322.2907851932
20160309,1436814.7329317776,1163813.1455106342,1505043.5503195932
20160310,1433989.1385700633,1163813.1455106342,1502083.7793258477
20160311,1435401.9357509203,1163813.1455106342,1503563.6648227202
20160314,1449529.9075594924,1163813.1455106342,1518362.519791448
20160315,1458006.6906446356,1163813.1455106342,1527241.8327726845
20160316,1462245.0821872072,1163813.1455106342,1531681.4892633026
20160317,1472134.6624532077,1163813.1455106342,1542040.6877414118
20160318,1489088.228623494,1163813.1455106342,1559799.3137038848
20160321,1525820.9553257816,1163813.1455106342,1598276.336622577
20160322,1514518.5778789239,1163813.1455106342,1586437.2526475948
20160323,1511692.9835172093,1163813.1455106342,1583477.4816538491
20160324,1486262.6342617797,1163813.1455106342,1556839.5427101396
20160325,1496152.2145277802,1163813.1455106342,1567198.7411882489
20160328,1480611.445538351,1163813.1455106342,1550920.0007226486
20160329,1473547.459634065,1163813.1455106342,1543520.5732382848
20160330,1511692.9835172093,1163813.1455106342,1583477.4816538491
20160331,1503216.2004320663,1163813.1455106342,1574598.1686726129
20160401,1506041.7947937807,1163813.1455106342,1577557.9396663583
20160405,1511692.9835172093,1163813.1455106342,1583477.4816538491
20160406,1514518.5778789239,1163813.1455106342,1586437.2526475948
20160407,1496152.2145277802,1163813.1455106342,1567198.7411882489
20160408,1493326.6201660659,1163813.1455106342,1564238.9701945034
20160411,1514518.5778789239,1163813.1455106342,1586437.2526475948
20160412,1507454.5919746377,1163813.1455106342,1579037.825163231
20160413,1527233.7525066386,1163813.1455106342,1599756.2221194496
20160414,1531472.1440492102,1163813.1455106342,1604195.8786100678
20160415,1537123.332772639,1163813.1455106342,1610115.4205975588
20160418,1515931.3750597811,1163813.1455106342,1587917.1381444675
20160419,1521582.5637832098,1163813.1455106342,1593836.6801319583
20160420,1486262.6342617797,1163813.1455106342,1556839.5427101396
20160421,1484849.8370809224,1163813.1455106342,1555359.6572132667
20160422,1490501.0258043515,1163813.1455106342,1561279.199200758
20160425,1483437.0399000654,1163813.1455106342,1553879.771716394
20160426,1496152.2145277802,1163813.1455106342,1567198.7411882489
20160427,1493326.6201660659,1163813.1455106342,1564238.9701945034
20160428,1506041.7947937807,1163813.1455106342,1577557.9396663583
20160429,1493326.6201660659,1163813.1455106342,1564238.9701945034
20160503,1508867.3891554952,1163813.1455106342,1580517.7106601037
20160504,1514518.5778789239,1163813.1455106342,1586437.2526475948
20160505,1514518.5778789239,1163813.1455106342,1586437.2526475948
20160506,1486262.6342617797,1163813.1455106342,1556839.5427101396
20160509,1462245.0821872072,1163813.1455106342,1531681.4892633026
20160510,1452355.5019212067,1163813.1455106342,1521322.2907851932
20160511,1465070.6765489215,1163813.1455106342,1534641.260257048
20160512,1466483.473729779,1163813.1455106342,1536121.1457539212
20160513,1462245.0821872072,1163813.1455106342,1531681.4892633026
20160516,1463657.8793680645,1163813.1455106342,1533161.3747601754
20160517,1455181.0962829213,1163813.1455106342,1524282.0617789389
20160518,1455181.0962829213,1163813.1455106342,1524282.0617789389
20160519,1448117.110378635,1163813.1455106342,1516882.634294575
20160520,1455181.0962829213,1163813.1455106342,1524282.0617789389
20160523,1452355.5019212067,1163813.1455106342,1521322.2907851932
20160524,1442465.9216552067,1163813.1455106342,1510963.0923070842
20160525,1445291.5160169208,1163813.1455106342,1513922.8633008297
20160526,1443878.7188360638,1163813.1455106342,1512442.977803957
20160527,1450942.7047403497,1163813.1455106342,1519842.4052883207
20160530,1452355.5019212067,1163813.1455106342,1521322.2907851932
20160531,1490501.0258043515,1163813.1455106342,1561279.199200758
20160601,1480611.445538351,1163813.1455106342,1550920.0007226486
20160602,1477785.8511766365,1163813.1455106342,1547960.2297289032
20160603,1483437.0399000654,1163813.1455106342,1553879.771716394
20160606,1484849.8370809224,1163813.1455106342,1555359.6572132667
20160607,1486262.6342617797,1163813.1455106342,1556839.5427101396
20160608,1483437.0399000654,1163813.1455106342,1553879.771716394
20160613,1459419.4878254929,1163813.1455106342,1528721.7182695572
20160614,1469309.0680914933,1163813.1455106342,1539080.9167476667
20160615,1474960.256814922,1163813.1455106342,1545000.4587351575
