trial,total,ann,sharpe,mdd,n_A,n_G,has_cashbond,eq_total
31,0.7398843848069911,0.08232252351039882,0.41725696892068526,-0.2702071555402615,7,3,False,1.2210169833333766
32,-0.01567882221513439,-0.0022548097919637966,0.0006200262080629098,-0.2925185561139129,4,6,True,0.7690140909693028
33,0.05875831210803395,0.008189240655755103,0.03359540997565712,-0.3014094680959604,5,5,True,0.6921152446691423
34,0.1664013123495156,0.0222303724572257,0.1301396747812504,-0.3414718363700941,4,6,True,0.651176522437521
35,0.05508149597079948,0.007688371914990277,0.07625155673358393,-0.44381250385912235,4,6,True,0.9474306108380661
36,-0.11685710625743351,-0.01759425476306853,-0.06753528336142096,-0.3786931371244385,4,6,True,0.7488223757895203
37,-0.10239766063821898,-0.015312633180700197,-0.04870886295366135,-0.4229022710360794,3,7,True,1.093436847168213
38,-0.18188129063566738,-0.028268218671099743,-0.12074941051148406,-0.41707639900135335,3,7,True,0.7387873541565
39,-0.5683341785131528,-0.11308227647557323,-0.46443048097780737,-0.6143031149653687,3,7,True,0.9697311472184762
40,-0.080908764169216,-0.01197933177083843,-0.010787492264509181,-0.45347364200205986,3,7,True,0.9178481916971153
41,-0.15836170798035176,-0.024326101676251377,-0.07057011844095254,-0.5163196226036582,6,4,True,0.4491359959376744
42,0.3379189631544113,0.042460565769130154,0.22617547885041736,-0.37001094247073457,4,6,True,1.5406334644331796
43,-0.2899926983262431,-0.047743582498110726,-0.153308816490983,-0.48344060002636624,4,6,True,0.6378169432182985
44,-0.3257309057363329,-0.05474279049642905,-0.21206634808484887,-0.5957107901851859,6,4,True,0.9444883118093532
45,-0.1647106333222429,-0.02538084623883008,-0.04223746576785541,-0.48913059083346144,5,5,True,0.7349224856488255
46,0.06797046303966514,0.009437635450923576,0.04944012779862231,-0.2954185021073518,4,6,True,0.6830469672905246
47,-0.19046402155304054,-0.029730988742787234,-0.07599234231626202,-0.5411929117544041,7,3,True,1.1514983540953994
48,-0.35587221809224934,-0.060897583015528944,-0.23651258433356911,-0.3974952538343197,4,6,True,0.7111264157836787
49,0.15430279180404516,0.020709014786936653,0.1192084125728831,-0.33603611859478894,8,2,True,0.7217934388074925
50,-0.3976220263958776,-0.06984398082382282,-0.3496169130706359,-0.5041365809965536,4,6,True,0.3693485506699432
51,-0.11723878026152912,-0.01765491337212044,-0.06972915842668433,-0.3248399924944168,6,4,False,0.9185623868182959
52,-0.16627816551485097,-0.02564231723208954,-0.12197384757043582,-0.40735705540420775,6,4,True,0.7292534777343485
53,-0.09115123790235857,-0.013559689581401635,-0.006895370483315581,-0.3730032097706927,3,7,True,0.5177650747097913
54,0.36737450574141395,0.045708405501762694,0.23923678762591502,-0.3710177681355772,5,5,True,0.8937807724096178
55,-0.056327934071630836,-0.008247358462905585,-0.025334037204776696,-0.3391940868200275,4,6,True,0.792179053619644
56,0.34104644866956746,0.04280830200584873,0.23057087782288618,-0.2851195361737092,5,5,True,1.0535008629416098
57,0.5422999290644712,0.06384568022454928,0.37625873427286055,-0.23592780806001581,6,4,True,1.1011283421030953
58,0.37522738035137815,0.04656415136921299,0.2509505685915741,-0.23592780806001576,5,5,True,0.7595113336878547
59,-0.42618907860474586,-0.07627697149599699,-0.46301503044487335,-0.45806476435359184,4,6,True,0.5543166675200517
60,-0.5014423397856849,-0.09464124248290662,-0.4592075592416397,-0.5336587476063854,4,6,True,0.7781227283515841
61,0.1590718279480181,0.0213103333338045,0.14236833359019235,-0.36581707837700306,3,7,True,0.7039052245129971
62,0.12192968128455739,0.01656990933564706,0.10140402345369015,-0.31001143638406403,6,4,True,0.5074151035970982
63,-0.2852981185214546,-0.04684673230226344,-0.18304905565098156,-0.42723272737235024,4,6,False,0.7639064910499349
