pair,start,end,div_cum,broad_cum,excess_cum,excess_ann
红利低波100-中证800,2020-08-18,2025-10-30,0.6414931684021961,0.12335761054447492,0.5181355578577211,0.05189153096028254
红利低波100-中证800,2020-08-19,2025-10-31,0.6463140695088256,0.12679257652119813,0.5195214929876275,0.051958604864372315
红利低波100-中证800,2020-08-20,2025-11-03,0.6817330890432931,0.14335669800256468,0.5383763910407284,0.05338755512152127
红利低波100-中证800,2020-08-21,2025-11-04,0.6751385363091458,0.12247546067718429,0.5526630756319615,0.055066181325141184
红利低波100-中证800,2020-08-24,2025-11-05,0.6776693609687889,0.11625524538189036,0.5614141155868986,0.05597859442662756
红利低波100-中证800,2020-08-25,2025-11-06,0.6948205004749501,0.13319474178017732,0.5616257586947728,0.05568067148083422
红利低波100-中证800,2020-08-26,2025-11-07,0.7213913289164215,0.1454143214642123,0.5759770074522093,0.056745615845316566
红利低波100-中证800,2020-08-27,2025-11-10,0.7341849724267571,0.14220221155039137,0.5919827608763657,0.0582411589558498
红利低波100-中证800,2020-08-28,2025-11-11,0.7148761201856944,0.10780068932028763,0.6070754308654067,0.06027380453366171
红利低波100-中证800,2020-08-31,2025-11-12,0.7275019851867572,0.11058168207159902,0.6169203031151582,0.0611013174730175
红利低波100-中证800,2020-09-01,2025-11-13,0.7244871767210168,0.11874139691483632,0.6057457798061805,0.05993458036919197
红利低波100-中证800,2020-09-02,2025-11-14,0.7214480507116834,0.10040346085170104,0.6210445898599823,0.06168033415971097
红利低波100-中证800,2020-09-03,2025-11-17,0.7152771366315984,0.10202946113224698,0.6132476754993514,0.06094624780339264
红利低波100-中证800,2020-09-04,2025-11-18,0.7126931314858398,0.10336255879632539,0.6093305726895144,0.0605666203763775
红利低波100-中证800,2020-09-07,2025-11-19,0.7333286235264775,0.12962668900696794,0.6037019345195096,0.059535085314565306
红利低波100-中证800,2020-09-08,2025-11-20,0.7149151354757648,0.11649047653909728,0.5984246589366675,0.059321748587851886
红利低波100-中证800,2020-09-09,2025-11-21,0.7036119809857257,0.1132725990646759,0.5903393819210498,0.058656761336671304
红利低波100-中证800,2020-09-10,2025-11-24,0.7074088023603955,0.11989680476542186,0.5875119975949736,0.0582720508710024
红利低波100-中证800,2020-09-11,2025-11-25,0.7188241300827332,0.11973947009859809,0.5990846599841351,0.059316712637695
红利低波100-中证800,2020-09-14,2025-11-26,0.711401892036829,0.1191389454150451,0.5922629466217839,0.05871493862587007
红利低波100-中证800,2020-09-15,2025-11-27,0.7152891923204874,0.10983502801038014,0.6054541643101072,0.06008697398407681
红利低波100-中证800,2020-09-16,2025-11-28,0.7134395885996592,0.12192972811134917,0.59150986048831,0.05859246000727314
红利低波100-中证800,2020-09-17,2025-12-01,0.7297392955059694,0.1379570663993992,0.5917822291065702,0.05830517855618256
红利低波100-中证800,2020-09-18,2025-12-02,0.700662138857606,0.10807587881328473,0.5925862600443212,0.05896217660784897
红利低波100-中证800,2020-09-21,2025-12-03,0.7112100540986606,0.1111626197727702,0.6000474343258904,0.059573776587077854
红利低波100-中证800,2020-09-22,2025-12-04,0.7299688895303145,0.12847745788275478,0.6014914316475597,0.05935991336085977
红利低波100-中证800,2020-09-23,2025-12-05,0.7338952006448092,0.1345099912732275,0.5993852093715817,0.05905280256305723
红利低波100-中证800,2020-09-24,2025-12-08,0.7575351266415995,0.16794329137221253,0.589591835269387,0.057537249417801695
红利低波100-中证800,2020-09-25,2025-12-09,0.751462069785108,0.16037161015186818,0.5910904596332398,0.05781380388832158
红利低波100-中证800,2020-09-28,2025-12-10,0.7406012950301872,0.16105488879630214,0.5795464062338851,0.05677190732464532
红利低波100-中证800,2020-09-29,2025-12-11,0.7267240252989677,0.14651812267014885,0.5802059026288189,0.0571041841540767
红利低波100-中证800,2020-09-30,2025-12-12,0.7339207463882533,0.15819835467764243,0.5757223917106109,0.056483465840136304
红利低波100-中证800,2020-10-09,2025-12-15,0.7118229873141437,0.12599470526945833,0.5858282820446854,0.05800192977731933
红利低波100-中证800,2020-10-12,2025-12-16,0.675470612880622,0.07903471155737485,0.5964359013232472,0.05989416198611508
红利低波100-中证800,2020-10-13,2025-12-17,0.6791174915503335,0.09608760543294159,0.5830298861173919,0.05833303959220282
红利低波100-中证800,2020-10-14,2025-12-18,0.6980859540910482,0.09726044715702331,0.6008255069340249,0.05992296695859012
红利低波100-中证800,2020-10-15,2025-12-19,0.69350986528307,0.1067377819727855,0.5867720833102845,0.05846280106009227
红利低波100-中证800,2020-10-16,2025-12-22,0.6709756662599848,0.12053174589218085,0.550443920367804,0.054900011003391924
红利低波100-中证800,2020-10-19,2025-12-23,0.6799321270509531,0.1317014829827099,0.5482306440682432,0.05449337112207586
红利低波100-中证800,2020-10-20,2025-12-24,0.6864798271662036,0.12844712148804227,0.5580327056781613,0.055443382418365106
红利低波100-中证800,2020-10-21,2025-12-25,0.6901234873804458,0.135730749395776,0.5543927379846698,0.05497880195157934
红利低波100-中证800,2020-10-22,2025-12-26,0.6945887912038049,0.14445303517960584,0.5501357560241991,0.054434062180394704
红利低波100-中证800,2020-10-23,2025-12-29,0.6850228103520561,0.15549678473155026,0.5295260256205059,0.052369840848568217
红利低波100-中证800,2020-10-26,2025-12-30,0.6872132278281724,0.1639061206727499,0.5233071071554225,0.05166016784887639
红利低波100-中证800,2020-10-27,2025-12-31,0.6919079055100203,0.15840840477124818,0.5334995007387722,0.05267921752629112
红利低波100-中证800,2020-10-28,2026-01-05,0.6996982864612704,0.17389442952457035,0.5258038569367001,0.05171511162661191
红利低波100-中证800,2020-10-29,2026-01-06,0.7154053237371776,0.18668322055714182,0.5287221031800358,0.05176007621827794
红利低波100-中证800,2020-10-30,2026-01-07,0.7301679351989256,0.2082486231339462,0.5219193120649794,0.05078749284573636
红利低波100-中证800,2020-11-02,2026-01-08,0.7209699926364761,0.1955113869845455,0.5254586056519306,0.05131746772811874
红利低波100-中证800,2020-11-03,2026-01-09,0.7042963261519992,0.19082489540079695,0.5134714307512023,0.050316634476600175
红利低波100-中证800,2020-11-04,2026-01-12,0.7082394263405272,0.19786334838620068,0.5103760779543265,0.0499215469558103
红利低波100-中证800,2020-11-05,2026-01-13,0.6873162063027669,0.16978900665536734,0.5175271996473996,0.05103569913196515
红利低波100-中证800,2020-11-06,2026-01-14,0.6675336071481344,0.1721044135155776,0.4954291936325568,0.048987164867457356
红利低波100-中证800,2020-11-09,2026-01-15,0.641799998776446,0.1512120381847788,0.4905879605916672,0.04888558079816918
红利低波100-中证800,2020-11-10,2026-01-16,0.6317920296479294,0.15556413464788976,0.4762278950000396,0.0474928112111237
红利低波100-中证800,2020-11-11,2026-01-19,0.6278680643234185,0.17047034214278334,0.4573977221806351,0.04552248575943385
红利低波100-中证800,2020-11-12,2026-01-20,0.6593921345666227,0.1643154394202173,0.4950766951464054,0.04908224655832605
红利低波100-中证800,2020-11-13,2026-01-21,0.6662600720996763,0.17867358710016856,0.48758648499950774,0.04816543348359681
红利低波100-中证800,2020-11-16,2026-01-22,0.6430467093358405,0.16852119330028126,0.47452551603555926,0.04713050874837266
红利低波100-中证800,2020-11-17,2026-01-23,0.6416583630303192,0.1771105415592087,0.4645478214711105,0.04607952131993742
红利低波100-中证800,2020-11-18,2026-01-26,0.6439688017984428,0.1749010332590475,0.46906776853939536,0.04652912590807001
红利低波100-中证800,2020-11-19,2026-01-27,0.6355897247830202,0.16890654390654403,0.4666831808764762,0.04640290063935559
红利低波100-中证800,2020-11-20,2026-01-28,0.6370732221026152,0.1677139085945749,0.4693593135080403,0.04666794374509253
红利低波100-中证800,2020-11-23,2026-01-29,0.6393276076065553,0.15745088557204734,0.48187672203450793,0.04798290006564687
红利低波100-中证800,2020-11-24,2026-01-30,0.6309937459651151,0.14877250668387543,0.4822212392812397,0.04815488800658008
红利低波100-中证800,2020-11-25,2026-02-02,0.6221058087930225,0.13428069988721414,0.4878251089058083,0.04890999454032641
红利低波100-中证800,2020-11-26,2026-02-03,0.621021011209578,0.15298303278482206,0.4680379784247559,0.04677724895691737
红利低波100-中证800,2020-11-27,2026-02-04,0.6303564401279627,0.14843937724395606,0.4819170628840066,0.04813222933859307
红利低波100-中证800,2020-11-30,2026-02-05,0.6451712579026745,0.14235623103930983,0.5028150268633647,0.05015661148908701
红利低波100-中证800,2020-12-01,2026-02-06,0.6186647230812055,0.11523548804458272,0.5034292350366227,0.050675898641517225
红利低波100-中证800,2020-12-02,2026-02-09,0.6252115523700854,0.13438194882187227,0.49082960354821314,0.04918607764912908
红利低波100-中证800,2020-12-03,2026-02-10,0.6412129890447684,0.13658648522716854,0.5046265038175999,0.05042081093115436
红利低波100-中证800,2020-12-04,2026-02-11,0.6516937797482454,0.13311571857108695,0.5185780611771584,0.05176148126497071
红利低波100-中证800,2020-12-07,2026-02-12,0.6627313944201865,0.14732757280024678,0.5154038216199397,0.051225206634311515
红利低波100-中证800,2020-12-08,2026-02-13,0.6543920168184125,0.13439367855051887,0.5199983382678937,0.05186932895778007
红利低波100-中证800,2020-12-09,2026-02-24,0.6795380680354397,0.16311399427050977,0.5164240737649299,0.051048711758980625
红利低波100-中证800,2020-12-10,2026-02-25,0.6772197800938151,0.1733549870800437,0.5038647930137714,0.049735120753213735
红利低波100-中证800,2020-12-11,2026-02-26,0.6875514292348284,0.1871300930132591,0.5004213362215693,0.04919670855151259
红利低波100-中证800,2020-12-14,2026-02-27,0.7144775147845215,0.17784525934268958,0.5366322554418319,0.05262341237479928
红利低波100-中证800,2020-12-15,2026-03-02,0.7317871869092953,0.17883245780821388,0.5529547291010815,0.05407083721967654
红利低波100-中证800,2020-12-16,2026-03-03,0.7381848014164887,0.1505475301002801,0.5876372713162086,0.057692764420585796
红利低波100-中证800,2020-12-17,2026-03-04,0.6937673966865407,0.125704234764332,0.5680631619222087,0.05640368847168431
红利低波100-中证800,2020-12-18,2026-03-05,0.6797121129869748,0.13967631617210463,0.5400357968148701,0.05360416898703413
红利低波100-中证800,2020-12-21,2026-03-06,0.690084838582796,0.13137354893149844,0.5587112896512976,0.05545058568776673
红利低波100-中证800,2020-12-22,2026-03-09,0.7314902354822417,0.1408210856415728,0.5906691498406689,0.05815023256143159
红利低波100-中证800,2020-12-23,2026-03-10,0.727283852404859,0.14652046975084976,0.5807633826540093,0.05715410990851977
红利低波100-中证800,2020-12-24,2026-03-11,0.7565068107925188,0.15695699705098565,0.5995498137415332,0.058631443271020434
红利低波100-中证800,2020-12-25,2026-03-12,0.7475121805755116,0.14177485124902,0.6057373293264916,0.0594773952790435
红利低波100-中证800,2020-12-28,2026-03-13,0.7534528824696791,0.13133275201848282,0.6221201304511963,0.06114400670254572
红利低波100-中证800,2020-12-29,2026-03-16,0.763572546262905,0.13513317448005302,0.628439371782852,0.06162819105503692
红利低波100-中证800,2020-12-30,2026-03-17,0.7588182662269871,0.1076362997753828,0.6511819664516043,0.06421942399179814
红利低波100-中证800,2020-12-31,2026-03-18,0.7440725401512227,0.0943413557751156,0.6497311843761071,0.06437525596774707
红利低波100-中证800,2021-01-04,2026-03-19,0.7381345687389578,0.060047482512004535,0.6780870862269532,0.06766702738520936
红利低波100-中证800,2021-01-05,2026-03-20,0.7412661877651525,0.03547898097757396,0.7057872067875786,0.07071611005826939
红利低波100-中证800,2021-01-06,2026-03-23,0.6735516991338648,-0.007464608006146678,0.6810163071400115,0.06951671344471766
