month,year,long_ret,short_ret,longshort_ret,bench_ret,ic,ic_signed,long_cost,short_cost,N_long,N_short
2020-03,2020,0.02973774370418636,0.0514863003820066,-0.02174855667782024,0.06462489834903544,0.025696076540675503,-0.025696076540675503,0.004179243262944833,0.004163072254353428,10,10
2020-04,2020,0.05325793191485645,-0.04898521771963217,0.10224314963448862,-0.017587966060827548,0.020407647446950644,-0.020407647446950644,0.004149949922674875,0.0040347114425904025,10,10
2020-05,2020,0.0019283510751050648,0.025023548669314617,-0.02309519759420955,0.04850339943175862,0.01136988627307333,-0.01136988627307333,0.0040518693911356235,0.004105338099393682,9,10
2020-06,2020,0.09562848219814003,0.11043213754159491,-0.014803655343454875,0.10529319585143647,0.00260520247583067,-0.00260520247583067,0.0043445510019562705,0.004314718653312689,10,10
2020-07,2020,0.03078024302868964,0.0036495918060096954,0.027130651222679943,0.009411355051529999,0.007583403834243236,-0.007583403834243236,0.004142959082565799,0.004085808257280867,10,10
2020-08,2020,-0.11201201995756266,-0.10600232437899161,-0.006009695578571048,-0.05260647794872919,-0.005838585867256677,0.005838585867256677,0.003841935026901853,0.0039196698276402885,10,10
2020-09,2020,-0.08474949750340398,-0.06517353105037496,-0.019575966453029017,0.00303186752837114,0.016656367482787326,-0.016656367482787326,0.0039106686751221665,0.0040421317291018475,10,10
2020-10,2020,0.038225420771010425,0.11747830261787551,-0.07925288184686508,0.050715771182079816,0.016632632600747,-0.016632632600747,0.004140734910396345,0.004273806403264751,10,9
2020-11,2020,-0.01424658705258247,-0.05169119332642397,0.037444606273841496,0.028456167901854207,-0.043270454965738545,0.043270454965738545,0.00406432766240024,0.004003214725676951,9,9
2020-12,2020,-0.08370595784830942,-0.07664109223526483,-0.007064865613044591,0.015992978060082638,-0.005304707281084152,0.005304707281084152,0.0038831361601469982,0.003935720975186911,10,10
2021-01,2021,0.029956974602800987,0.11140668731826639,-0.0814497127154654,-0.014930370896715965,-0.009943149992463525,0.009943149992463525,0.004110109112806853,0.004319906775708971,8,9
2021-02,2021,-0.014028545768425396,-0.042690033304581446,0.02866148753615605,-0.06835906736783012,-0.04984535577169198,0.04984535577169198,0.004065305722381078,0.0039840395251115315,9,10
2021-03,2021,-0.014511955823598993,0.04898304072894669,-0.06349499655254569,0.0024873322583760533,0.006270357306890976,-0.006270357306890976,0.0040814670585104275,0.004166963318554142,10,10
2021-04,2021,0.07486919909287501,0.005443708715504849,0.06942549037737016,0.05343579383269064,0.0065370907991917715,-0.0065370907991917715,0.0042109738841778046,0.004097925050454231,10,10
2021-05,2021,0.027832600251754065,0.052397179369267716,-0.02456457911751365,-0.022022810128005,-0.016699627277621774,0.016699627277621774,0.004131718464535369,0.004166089245734817,10,10
2021-06,2021,-0.06748142381047732,0.03701626117385987,-0.1044976849843372,-0.08002324508713202,-0.0030825184623669904,0.0030825184623669904,0.003912636815596318,0.004203985817007724,10,10
2021-07,2021,0.022623781227405812,0.06337715291346938,-0.040753371686063564,-0.025969387093269583,0.04039551131768549,-0.04039551131768549,0.0040839464530427454,0.004170304998770688,10,8
2021-08,2021,0.004299867749700686,-0.06054432084219552,0.06484418859189621,-0.0006317129252991147,0.03099298114623351,-0.03099298114623351,0.0040663169228665275,0.003926111864478222,9,9
2021-09,2021,-0.02954264475743349,-0.014538469696166286,-0.015004175061267205,-0.004294331398577186,0.009985438246124974,-0.009985438246124974,0.003978440820360762,0.00403950368524312,10,10
2021-10,2021,0.020823275758232757,0.15570668094171147,-0.13488340518347872,-0.011994045578604081,-0.0339595593767668,0.0339595593767668,0.004133964491339645,0.004424001942583415,9,10
2021-11,2021,0.03566097668468972,0.018432653149640415,0.017228323535049304,0.01992676901085532,0.014168948509829407,-0.014168948509829407,0.004154564705629428,0.004128216792305692,10,10
2021-12,2021,0.018351070349778925,0.0063504674910595015,0.012000602858719425,-0.019398323055392585,0.04916315101173444,-0.04916315101173444,0.004139408133782778,0.004098065405661597,10,10
