month,year,long_ret,short_ret,longshort_ret,bench_ret,ic,ic_signed,long_cost,short_cost,N_long,N_short
2019-06,2019,-0.029848687255515833,-0.0054283158560641045,-0.02442037139945173,-0.0255227409767276,0.03192615818063409,-0.03192615818063409,0.004025694487244797,0.004045900037122078,10,10
2019-07,2019,-0.02142075077835584,0.009962257643335547,-0.03138300842169139,-0.0010209363062050698,-0.04295442371763245,0.04295442371763245,0.004021891110540855,0.004090490140686214,10,10
2019-08,2019,-0.04820042427168925,-0.07396672781777786,0.025766303546088602,-0.008780871070018665,0.0260726376107606,-0.0260726376107606,0.003995398562007952,0.003931463180352913,10,10
2019-09,2019,-0.007521388563590929,-0.018866545006394356,0.011345156442803428,0.012787103538698786,-0.04959536674912105,0.04959536674912105,0.004079764788680718,0.00403209687488249,10,10
2019-10,2019,-0.04485772945129531,-0.010220741257249975,-0.034636988194045336,-0.031301740882067476,-0.0710517378979101,0.0710517378979101,0.003962102480139202,0.004066497071396201,10,10
2019-11,2019,0.11338629886624049,0.11942738711982938,-0.006041088253588886,0.06791428567481059,0.02871655657886638,-0.02871655657886638,0.004302094780895028,0.004345559935391291,10,10
2019-12,2019,0.013744796035685933,-0.011594563037821042,0.025339359073506977,-0.03572516796232039,0.026092875469187166,-0.026092875469187166,0.00419923470848632,0.004036756169809582,10,10
2020-01,2020,0.17142252282523096,0.17258426813527836,-0.0011617453100473962,0.06823931235738566,0.005385654622186975,-0.005385654622186975,0.004415245062360749,0.004435561347546848,10,10
2020-02,2020,-0.06078519148505748,-0.07980592100202984,0.019020729516972354,-0.09423650028103046,-0.008228503049248732,0.008228503049248732,0.00397305358287926,0.0038846315018529008,10,10
2020-03,2020,0.03579543738247995,0.030777564161962978,0.005017873220516972,0.06462489834903544,0.0019945312240111893,-0.0019945312240111893,0.004131362220836771,0.004097966664665132,10,10
2020-04,2020,0.020161636443149833,-0.014207332307215357,0.034368968750365186,-0.017587966060827548,-0.018821486541309967,0.018821486541309967,0.004094100894484191,0.004053080506727441,10,10
2020-05,2020,-0.0285459855465598,0.013843363323083235,-0.04238934886964303,0.04850339943175862,0.057550010050647665,-0.057550010050647665,0.004014861276506205,0.004170043968955853,10,9
2020-06,2020,0.41143747940917175,0.11244412214812775,0.298993357261044,0.10529319585143647,-0.04737838112939271,0.04737838112939271,0.004874289121060067,0.004340051022513654,9,9
2020-07,2020,-0.0020705271015963736,-0.04602509830318754,0.043954571201591165,0.009411355051529999,0.03208488558566572,-0.03208488558566572,0.004030546904332769,0.004049197706615386,8,9
2020-08,2020,-0.08772401250099342,-0.03818114700497911,-0.049542865496014304,-0.05260647794872919,-0.014045221444679736,0.014045221444679736,0.0039325675810135356,0.003972576869424959,10,10
2020-09,2020,-0.06869168412323784,-0.09654816971079591,0.027856485587558072,0.00303186752837114,0.029158106875148665,-0.029158106875148665,0.003941681066625632,0.0038896763610694533,9,10
2020-10,2020,0.06705822326626965,0.14841849557978015,-0.0813602723135105,0.050715771182079816,0.04487282240634285,-0.04487282240634285,0.0042206177898186465,0.004381368559628676,10,10
2020-11,2020,-0.0037755792114056554,0.020018002425950816,-0.02379358163735647,0.028456167901854207,-0.023607045172673674,0.023607045172673674,0.00411746311695532,0.004222360824146932,10,10
2020-12,2020,0.02770296091366548,-0.034532787656808145,0.06223574857047362,0.015992978060082638,-0.07050485356471667,0.07050485356471667,0.004133130504521002,0.0040046833088068085,10,10
2021-01,2021,0.07691579249201425,0.06061873171468133,0.016297060777332915,-0.014930370896715965,-0.0007877672701425514,0.0007877672701425514,0.004215434786418285,0.004159201811373443,10,9
2021-02,2021,-0.058698313271893496,-0.044244711937640686,-0.01445360133425281,-0.06835906736783012,-0.04770615672404451,0.04770615672404451,0.003940125129536648,0.003953352288280704,9,10
2021-03,2021,0.010387154104449093,-0.027616119538035413,0.03800327364248451,0.0024873322583760533,0.013077520696796845,-0.013077520696796845,0.004058462040209372,0.00403694227214982,10,9
2021-04,2021,0.1382036591209046,0.034923422439011774,0.10328023668189282,0.05343579383269064,-0.04794691909744246,0.04794691909744246,0.004427731958973072,0.0041595858267722925,9,8
2021-05,2021,-0.020016641138702693,-0.013006087960419209,-0.007010553178283484,-0.022022810128005,0.024462778781954325,-0.024462778781954325,0.004099031218652845,0.004032430218918013,10,10
2021-06,2021,0.13367236303957092,0.11778276694411643,0.015889596095454483,-0.08002324508713202,-0.040644234749245244,0.040644234749245244,0.00433417926355113,0.004342361714130202,10,10
2021-07,2021,0.003638183238598098,0.11507933358875305,-0.11144115035015495,-0.025969387093269583,0.11474657001468237,-0.11474657001468237,0.0042279841599094856,0.0043095328997890285,9,10
2021-08,2021,-0.04532484577579621,-0.02729523367312757,-0.018029612102668638,-0.0006317129252991147,0.05445791763147462,-0.05445791763147462,0.004057755681494236,0.003996039960256613,10,10
2021-09,2021,-0.06408914471572551,-0.06478451792602818,0.0006953732103026772,-0.004294331398577186,0.0019896899957055855,-0.0019896899957055855,0.00394962874200244,0.003987613847841359,10,9
2021-10,2021,0.07194576036752538,-0.03545941609679116,0.10740517646431655,-0.011994045578604081,0.02715285967469893,-0.02715285967469893,0.004263887173660681,0.003989137296159916,9,8
2021-11,2021,0.06513376078290764,0.07127496443310484,-0.0061412036501971995,0.01992676901085532,-0.005075841318537002,0.005075841318537002,0.0041932170501761115,0.004209156858825881,10,9
2021-12,2021,0.0015187454161094095,0.015394626662524225,-0.013875881246414815,-0.019398323055392585,0.02065706441399712,-0.02065706441399712,0.004089779541826653,0.0042227893420916365,10,8
